movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Out of Africa (1985),"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.",1985-12-20,Biography Drama Romance,,161,87071205.0,140443000.0,227514205,3637290.0,Universal Pictures
Back to the Future (1985),"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985-07-03,Adventure Comedy Sci-Fi,,116,214553307.0,170500000.0,385053307,11152500.0,Universal Pictures
Rambo: First Blood Part II (1985),Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.,1985-05-22,Action Adventure Thriller,,96,150415432.0,149985000.0,300400432,20176217.0,TriStar Pictures
Rocky IV (1985),"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-six, 261-pound fighter who has the backing of the Soviet Union.",1985-11-27,Drama Sport,PG,91,127873716.0,172600000.0,300473716,19991537.0,United Artists
The Color Purple (1985),"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.",1985-12-20,Drama,,154,98467863.0,,98468102,1710333.0,Warner Bros.
Cocoon (1985),"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",1985-06-21,Comedy Drama Sci-Fi,,117,76113124.0,9200000.0,85313124,7936427.0,Twentieth Century Fox
The Jewel of the Nile (1985),"When Joan Wilder is abducted while on a trip along the Nile, her boyfriend, Jack Colton, and pal Ralph rush to rescue her and retrieve a fabled jewel.",1985-12-13,Action Adventure Comedy Romance,,106,75973200.0,20800000.0,96773200,6645455.0,Twentieth Century Fox
Witness (1985),"While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened.",1985-02-08,Crime Drama Romance Thriller,,112,68706993.0,466.0,68707459,4539990.0,Paramount Pictures
The Goonies (1985),A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,1985-06-07,Adventure Comedy Family,,114,63711145.0,790473.0,64537760,9105913.0,Warner Bros.
Spies Like Us (1985),"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",1985-12-06,Adventure Comedy,,102,60106536.0,,60106536,8614039.0,Warner Bros.
Police Academy 2: Their First Assignment (1985),"Six Police Academy graduates are assigned to the 16th precinct, and their Captain desperately wants them to clean up the crime ridden neighborhood, but his second in command schemes to become captain himself by sabotaging the rookies.",1985-03-29,Comedy,,87,55600000.0,,55600000,10675896.0,Warner Bros.
Fletch (1985),"While working undercover wisecracking newspaper reporter Irwin ""Fletch"" Fletcher is offered a large sum by a millionaire with a terminal disease to kill him. Intrigued, Fletch decides to unearth the full story behind the offer.",1985-05-31,Comedy Crime Mystery,,98,50612888.0,9000000.0,59612888,7022970.0,Universal Pictures
A View to a Kill (1985),"The recovery of a microchip from the body of a fellow British secret agent leads James Bond to mad industrialist Max Zorin, who is scheming to cause massive destruction.",1985-05-24,Action Adventure Thriller,,131,50327960.0,9572.0,50337730,10687114.0,Metro-Goldwyn-Mayer (MGM)
National Lampoon's European Vacation (1985),The Griswolds win a vacation tour across Europe where the usual havoc ensues.,1985-07-26,Adventure Comedy,,95,49364621.0,,49364621,12329627.0,Warner Bros.
Mask (1985),A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.,1985-03-08,Biography Drama,,120,48230162.0,,48230162,135499.0,Universal Pictures
The Breakfast Club (1985),Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,1985-02-15,Comedy Drama,,97,45875171.0,5650000.0,51525171,5107599.0,Universal Pictures
White Nights (1985),"A Russian American ballet dancer's airplane is forced to land in USSR, where he's ""repatriated"". He stays with an American man married to a Russian. Will the American help him flee USSR?",1985-11-22,Drama Music,,136,42160849.0,,42160849,477539.0,Columbia Pictures
Pale Rider (1985),A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,1985-06-28,Drama Western,,115,41410568.0,,41410568,9119111.0,Warner Bros.
Pee-wee's Big Adventure (1985),"When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.",1985-08-09,Adventure Comedy Family,,91,41047344.0,,41048630,4545847.0,Warner Bros.
