movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Mission: Impossible II (2000),"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",2000-05-24,Action Adventure Thriller,PG-13,123,215409889.0,330978219.0,546388108,57845297.0,Paramount Pictures
Gladiator (2000),A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000-05-05,Action Adventure Drama,R,155,187705427.0,277801273.0,465516248,34819017.0,DreamWorks Distribution
Cast Away (2000),A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,2000-12-22,Adventure Drama Romance,PG-13,143,233632142.0,196000000.0,429632142,28883406.0,Twentieth Century Fox
What Women Want (2000),"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",2000-12-15,Comedy Fantasy Romance,PG-13,127,182811707.0,191300000.0,374111707,33614543.0,Paramount Pictures
Dinosaur (2000),An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,2000-05-19,Adventure Animation Drama Family Fantasy,PG,82,137748063.0,212074702.0,349822765,38854851.0,Walt Disney Studios Motion Pictures
How the Grinch Stole Christmas (2000),"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",2000-11-17,Comedy Family Fantasy,PG,104,261901880.0,85108644.0,347162175,55082330.0,Universal Pictures
Meet the Parents (2000),"Chicago male nurse and chronic under-achiever Greg Focker meets his charming teacher girlfriend Pam Byrnes' parents Jack and Dina before proposing, but suspicious Jack is an overprotective former CIA agent - every date's worst nightmare.",2000-10-06,Comedy Romance,PG-13,108,166244045.0,164200000.0,330444045,28623300.0,Universal Pictures
The Perfect Storm (2000),An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,2000-06-30,Action Adventure Drama Thriller,PG-13,130,182618434.0,146100000.0,328718434,41325042.0,Warner Bros.
X-Men (2000),"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",2000-07-13,Action Adventure Sci-Fi,PG-13,104,157299718.0,139039810.0,296339528,54471475.0,Twentieth Century Fox
What Lies Beneath (2000),The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,2000-07-21,Drama Horror Mystery Thriller,PG-13,130,155464351.0,135956000.0,291420351,29702959.0,DreamWorks Distribution
Scary Movie (2000),"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",2000-07-07,Comedy,R,88,157019771.0,121000000.0,278019771,42346669.0,Miramax
