movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Barbie (2023),"Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",2023-07-19,Adventure Comedy Fantasy,PG-13,114,636238421.0,810800000,1447038421,162022044.0,Warner Bros.
The Super Mario Bros. Movie (2023),"Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",2023-04-05,Adventure Animation Comedy Family Fantasy,PG,92,574934330.0,785913335,1360847665,146361865.0,Universal Pictures
Oppenheimer (2023),"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",2023-07-19,Biography Drama History,R,180,330078895.0,645732438,975811333,82455420.0,Universal Pictures
Guardians of the Galaxy Vol. 3 (2023),"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",2023-04-13,Action Adventure Comedy Sci-Fi,PG-13,150,358995815.0,486559962,845555777,118414021.0,Walt Disney Studios Motion Pictures
Fast X (2023),Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,2023-04-27,Action Adventure Crime Mystery Thriller,PG-13,141,146126015.0,558749000,704875015,67017410.0,Universal Pictures
Spider-Man: Across the Spider-Verse (2023),"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",2023-05-31,Action Adventure Animation Family Fantasy Sci-Fi,PG,140,381593754.0,309230984,690824738,120663589.0,Columbia Pictures
Full River Red (2023),"A pawn tries to get rid of a traitorous minister, Qin Hui, when he leads an army to the border for talks with a Jurchen mission.",2023-01-22,Comedy Drama History Mystery,,159,,670491959,670491959,,
Wonka (2023),"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",2023-12-06,Adventure Comedy Family Fantasy Musical,PG,116,218402312.0,416100000,634502312,39005800.0,Warner Bros.
The Wandering Earth II (2023),"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",2023-01-19,Action Adventure Drama Sci-Fi,,173,5023132.0,610000000,615023132,,Well Go USA Entertainment
Mission: Impossible - Dead Reckoning Part One (2023),Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,2023-07-08,Action Adventure Thriller,PG-13,163,172640980.0,398484455,571125435,54688347.0,Paramount Pictures
The Little Mermaid (2023),A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,2023-05-04,Adventure Family Fantasy Musical Romance,PG,135,298172056.0,271454233,569626289,95578040.0,Walt Disney Studios Motion Pictures
No More Bets (2023),"A Chinese programmer and a model who, enticed by the promise of high-paying jobs, find themselves trapped in a foreign country as prisoners of a scam mill and were forced to be part of their online fraud scheme.",2023-08-08,Crime Drama,,130,,532600264,532600264,,
Elemental (2023),"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",2023-06-14,Adventure Animation Comedy Family Fantasy Romance,PG,101,154426697.0,342017611,496444308,29602429.0,Walt Disney Studios Motion Pictures
Lost in the Stars (2022),"He Fei's wife, Li Muzi, disappears during their anniversary trip. When she reappears, he insists that she is not his wife. As Chen Mai, a top lawyer gets involved in this bizarre case, more mysteries start to emerge.",2023-06-23,Crime Drama Mystery,,121,1721446.0,485916028,487637474,806815.0,CMC Pictures
Ant-Man and the Wasp: Quantumania (2023),"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",2023-02-15,Action Adventure Comedy Sci-Fi,PG-13,124,214504909.0,261566271,476071180,106109650.0,Walt Disney Studios Motion Pictures
John Wick: Chapter 4 (2023),"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",2023-03-22,Action Crime Thriller,R,169,187131806.0,260010715,447142521,73817950.0,Lionsgate
Transformers: Rise of the Beasts (2023),"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",2023-06-07,Action Adventure Sci-Fi,PG-13,127,157341749.0,284314801,441656550,61045464.0,Paramount Pictures
Aquaman and the Lost Kingdom (2023),"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",2023-12-20,Action Adventure Fantasy Sci-Fi,PG-13,124,124481226.0,315700000,440181226,27686211.0,Warner Bros.
Meg 2: The Trench (2023),"A research team's journey into the depths of the ocean turns into chaos when a mining operation forces them into a battle for survival, facing off against Megalodons and relentless environmental marauders.",2023-08-02,Action Adventure Horror Sci-Fi Thriller,PG-13,116,82600317.0,315200000,397800317,30002735.0,Warner Bros.
Indiana Jones and the Dial of Destiny (2023),Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,2023-06-28,Action Adventure Sci-Fi,PG-13,154,174480468.0,209482589,383963057,60368101.0,Walt Disney Studios Motion Pictures
Creation of the Gods I: Kingdom of Storms (2023),"A magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",2023-07-10,Action Adventure Drama Fantasy,,148,1706355.0,371315568,373021923,931140.0,Well Go USA Entertainment
The Hunger Games: The Ballad of Songbirds & Snakes (2023),Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,2023-11-15,Action Adventure Drama Sci-Fi Thriller War,PG-13,157,166350594.0,182073895,348424489,44607143.0,Lionsgate
Never Say Never (2023),A former boxing champion decides to break a few rules and train orphans from China's remote countryside in order to give them a future.,2023-07-06,Action Drama Sport,,117,,301957043,301957043,,
Migration (2023),A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,2023-12-06,Adventure Animation Comedy Family,PG,83,127630880.0,172556919,300187799,12453275.0,Universal Pictures
Five Nights at Freddy's (2023),"A troubled security guard begins working at Freddy Fazbear's Pizza. During his five nights on the job, he realizes that something is wrong with the pizzeria and pretty soon finds the truth about its animatronics.",2023-10-25,Horror Mystery Thriller,PG-13,109,137275620.0,154218000,291493620,80001720.0,Universal Pictures
The Boy and the Heron (2023),"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",2023-07-14,Adventure Animation Drama Fantasy,PG-13,124,46832867.0,235589319,282422186,13011722.0,GKIDS
Creed III (2023),"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",2023-03-01,Action Drama Sport,PG-13,116,156248615.0,119900000,276148615,58370007.0,United Artists Releasing
The Flash (2023),"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",2023-06-14,Action Adventure Fantasy Sci-Fi,PG-13,144,108133313.0,163300000,271433313,55043679.0,Warner Bros.
The Nun II (2023),"1956 in France, a priest is horribly murdered. An evil is spreading. Once again, Sister Irene comes face-to-face with Valak, the demon nun.",2023-09-06,Horror Mystery Thriller,R,110,86267073.0,183400000,269667073,32603336.0,Warner Bros.
Taylor Swift: The Eras Tour (2023),"Experience the Eras Tour concert, performed by the one and only Taylor Swift.",2023-10-12,Documentary Music Musical,PG-13,169,180756269.0,80900000,261656269,93224755.0,AMC Theatres
Wish (2023),A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,2023-11-22,Adventure Animation Comedy Family Fantasy Musical,PG,95,63973821.0,191023539,254997360,19698228.0,Walt Disney Studios Motion Pictures
Sound of Freedom (2023),The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,2023-07-04,Biography Crime Drama History Thriller,PG-13,131,184178046.0,66392350,250570396,19680879.0,Angel (I)
Chang An (2023),"A few years after the outbreak of the Anshi Rebellion, the Tubo army attacked the southwest. Gao Shi, who was trapped in the isolated city, recalled his life with Li Bai to the eunuch of the supervising army.",2023-07-08,Animation History,,168,,250318788,250318788,,
Napoleon (2023),"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",2023-11-22,Action Adventure Biography Drama History War,R,158,61524375.0,159870463,221394838,20638887.0,Columbia Pictures
