movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
The Avengers (2012),Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,2012-04-25,Action Sci-Fi,PG-13,143,623357910.0,897180626.0,1520538536,207438708.0,Walt Disney Studios Motion Pictures
Skyfall (2012),"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2012-10-25,Action Adventure Thriller,PG-13,143,304360277.0,804200736.0,1108594137,88364714.0,Sony Pictures Releasing
The Dark Knight Rises (2012),"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",2012-07-19,Action Crime Drama Thriller,PG-13,164,448149584.0,666807044.0,1114976407,160887295.0,Warner Bros.
The Hobbit: An Unexpected Journey (2012),"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.",2012-12-12,Adventure Fantasy,PG-13,169,303030651.0,714000401.0,1017107150,84617303.0,Warner Bros.
Ice Age: Continental Drift (2012),"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",2012-06-27,Adventure Animation Comedy Family,PG,88,161321843.0,715922939.0,877244782,46629259.0,Twentieth Century Fox
The Twilight Saga: Breaking Dawn - Part 2 (2012),"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012-11-14,Adventure Drama Fantasy Romance,PG-13,115,292324737.0,556269211.0,848593948,141067634.0,Lionsgate
The Amazing Spider-Man (2012),"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",2012-06-28,Action Sci-Fi,PG-13,136,262782352.0,495918171.0,758725893,62004688.0,Sony Pictures Releasing
Madagascar 3: Europe's Most Wanted (2012),"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.",2012-06-06,Adventure Animation Comedy Family,PG,95,216391482.0,530529792.0,746921274,60316738.0,DreamWorks
The Hunger Games (2012),Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012-03-08,Action Adventure Sci-Fi Thriller,PG-13,142,408010692.0,287209927.0,695220619,152535747.0,Lionsgate
Men in Black³ (2012),Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,2012-05-23,Action Adventure Comedy Sci-Fi,PG-13,106,179020854.0,475192631.0,654213485,54592779.0,Sony Pictures Releasing
Life of Pi (2012),"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",2012-11-21,Adventure Drama Fantasy,PG,127,124987023.0,484029542.0,609016565,22451514.0,Twentieth Century Fox
Ted (2012),"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.",2012-06-29,Comedy,R,106,218815487.0,330552828.0,549368315,54415205.0,Universal Pictures
