movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Beauty and the Beast (1991),A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,1991-11-15,Animation Family Fantasy Musical Romance,,84,218967620.0,232323678.0,451291298,162146.0,Walt Disney Studios Motion Pictures
Terminator 2: Judgment Day (1991),"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1991-07-03,Action Adventure Sci-Fi,R,137,205881154.0,311897419.0,517778573,31765506.0,TriStar Pictures
Robin Hood: Prince of Thieves (1991),Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,1991-06-14,Action Adventure Drama Romance,,143,165493908.0,225000000.0,390493908,25625602.0,Warner Bros.
The Silence of the Lambs (1991),"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991-02-14,Crime Drama Horror Thriller,,118,130742922.0,142000000.0,272742922,13766814.0,Orion Pictures
City Slickers (1991),"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",1991-06-07,Comedy Western,,113,124033791.0,55000000.0,179033791,13032121.0,Columbia Pictures
Hook (1991),"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",1991-12-11,Adventure Comedy Family Fantasy,,142,119654823.0,181200000.0,300854823,13522535.0,TriStar Pictures
The Addams Family (1991),Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,1991-11-22,Comedy Fantasy,,99,113502426.0,78000000.0,191502426,24203754.0,Paramount Pictures
Sleeping with the Enemy (1991),"A librarian fakes her death to escape her abusive marriage and start a new life elsewhere, but her husband manages to track her down.",1991-02-08,Drama Thriller,R,99,101599005.0,73400000.0,174999005,13777943.0,Twentieth Century Fox
Father of the Bride (1991),"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.",1991-12-20,Comedy Family Romance,,105,89325780.0,,89325780,7031146.0,Walt Disney Studios Motion Pictures
The Naked Gun 2½: The Smell of Fear (1991),Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,1991-06-28,Comedy Crime,,85,86930411.0,,86930411,20817139.0,Paramount Pictures
Fried Green Tomatoes (1991),"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",1991-12-27,Drama,,130,82418501.0,37000000.0,119418501,105317.0,Universal Pictures
Cape Fear (1991),"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",1991-11-15,Crime Drama Thriller,R,128,79091969.0,103200000.0,182291969,10261025.0,Universal Pictures
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),The Turtles discover their origins while they endeavour to save New York City from the evil Shredder and his Foot Clan.,1991-03-22,Action Adventure Comedy Family Sci-Fi,,88,78656813.0,,78656813,20030473.0,New Line Cinema
Backdraft (1991),"Two feuding siblings carrying on a heroic family tradition as Chicago firefighters. But when a puzzling series of arson attacks is reported, they are forced to set aside their differences to solve the mystery surrounding these crimes.",1991-05-24,Action Drama Mystery Thriller,R,137,77868585.0,74500000.0,152368585,12686200.0,Universal Pictures
Star Trek VI: The Undiscovered Country (1991),"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",1991-12-06,Action Adventure Sci-Fi Thriller,PG,110,74888996.0,22000000.0,96888996,18162837.0,Paramount Pictures
The Prince of Tides (1991),A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,1991-12-27,Drama Romance,R,132,74787599.0,,74787599,10035412.0,Columbia Pictures
JFK (1991),New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,1991-12-20,Drama History Thriller,R,189,70405498.0,135000000.0,205405498,5223658.0,Warner Bros.
Hot Shots! (1991),A parody of Top Gun in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.,1991-07-31,Action Comedy,,85,69467617.0,111628547.0,181096164,10848182.0,Twentieth Century Fox
What About Bob? (1991),"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation.",1991-05-17,Comedy,,99,63707829.0,,63707829,9216334.0,Walt Disney Studios Motion Pictures
One Hundred and One Dalmatians (1961),"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",1961-01-25,Adventure Animation Comedy Family,,79,144880014.0,71000000.0,215880014,,Walt Disney Studios Motion Pictures
The Last Boy Scout (1991),"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",1991-12-13,Action Comedy Crime Thriller,R,105,59509925.0,,59509925,7923669.0,Warner Bros.
My Girl (1991),"Vada is obsessed with death. Her mother is dead, and her father runs a funeral parlor. When Vada's father hires Shelly, a makeup expert, and begins to fall in love, Vada is outraged and does everything in her power to split them up.",1991-11-27,Comedy Drama Family Romance,PG,102,59489799.0,,59492553,12391783.0,Columbia Pictures
Boyz n the Hood (1991),"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",1991-07-12,Crime Drama,R,112,57504069.0,25001.0,57532703,10023462.0,Columbia Pictures
Doc Hollywood (1991),A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,1991-08-02,Comedy Drama Romance,,104,54830779.0,,54830779,7251854.0,Warner Bros.
Bugsy (1991),"The true story of gangster Benjamin ""Bugsy"" Siegel, his tumultuous affair with the tough-talking Virginia Hill, and how he founded the Nevada-based city that would go on to be known as Las Vegas.",1991-12-13,Biography Crime Drama,R,136,49114016.0,,49114016,140358.0,TriStar Pictures
New Jack City (1991),A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,1991-03-08,Action Crime Drama Thriller,R,97,47624353.0,,47624353,7039622.0,Warner Bros.
The Rocketeer (1991),A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,1991-06-21,Action Adventure Family Sci-Fi Thriller,,108,46704056.0,,46704906,9600754.0,Walt Disney Studios Motion Pictures
Thelma & Louise (1991),"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",1991-05-24,Adventure Crime Drama,R,130,45360915.0,150848.0,45519686,6101297.0,Metro-Goldwyn-Mayer (MGM)
Point Break (1991),An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,1991-07-12,Action Crime Thriller,R,122,43218387.0,40313571.0,83531958,8514616.0,Twentieth Century Fox
Regarding Henry (1991),"After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him.",1991-07-12,Drama Romance,,108,43001500.0,,43001500,6146782.0,Paramount Pictures
The Fisher King (1991),"A former radio DJ, suicidally despondent because of a terrible mistake he once made, finds redemption in helping a mentally unstable homeless man who was an innocent victim of that mistake.",1991-09-20,Comedy Drama Fantasy,R,137,41895491.0,,41895736,311662.0,TriStar Pictures
Out for Justice (1991),"With his partner executed in broad daylight by a psychotic mafia enforcer, a veteran Brooklyn officer vows revenge. But is the unstoppable detective prepared to face the truth and pay the price of blood?",1991-04-12,Action Crime Drama Thriller,R,91,39673161.0,,39673161,10524026.0,Warner Bros.
The Doctor (1991),"When a self-centered doctor is diagnosed with cancer, he becomes better able to empathize with his patients and appreciate a life outside his career.",1991-07-26,Drama,,122,38120905.0,,38120905,165392.0,Walt Disney Studios Motion Pictures
Bill & Ted's Bogus Journey (1991),A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,1991-07-19,Adventure Comedy Fantasy Music Sci-Fi,,93,38037513.0,2755.0,38040268,10241268.0,Orion Pictures
Dead Again (1991),"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.",1991-08-23,Crime Drama Mystery Thriller,R,107,38016380.0,,38016380,3479395.0,Paramount Pictures
Soapdish (1991),"An ambitious television soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan.",1991-05-31,Comedy Romance,,97,36489888.0,,36489888,6736380.0,Paramount Pictures
Freddy's Dead: The Final Nightmare (1991),"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",1991-09-13,Fantasy Horror,R,89,34872033.0,,34872033,12966525.0,New Line Cinema
White Fang (1991),Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,1991-01-18,Adventure Drama Family,,107,34793160.0,,34793160,5640712.0,Walt Disney Studios Motion Pictures
The Doors (1991),"Jim Morrison's life, from his LA film student days to his death in Paris. Val Kilmer delivers an uncanny portrayal, with vocals indistinguishable from Morrison's originals. It depicts Morrison's journey as the iconic 60s rock frontman.",1991-03-01,Biography Drama Music,R,140,34416893.0,99590.0,34516483,9151800.0,TriStar Pictures
King Ralph (1991),A regular guy from America becomes king of England after a royal wipe-out puts him next in line.,1991-02-15,Comedy Romance,,97,34002045.0,18485000.0,52487045,8327550.0,Universal Pictures
Curly Sue (1991),"A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her.",1991-10-25,Comedy Drama Family Romance,,101,33691313.0,,33691313,4974958.0,Warner Bros.
Dying Young (1991),A caregiver falls in love with a terminally ill man.,1991-06-21,Drama Romance,R,111,33669178.0,48595497.0,82264675,9725885.0,Twentieth Century Fox
Grand Canyon (1991),The fates of several people are randomly intertwining. Their sympathy of each other faces multiple differences in their lifestyles.,1991-12-27,Crime Drama,R,134,33243020.0,7748309.0,40991329,67546.0,Twentieth Century Fox
Jungle Fever (1991),Friends and family of a married Black architect react in different ways to his affair with an Italian secretary.,1991-06-07,Drama Romance,R,132,32482682.0,11400000.0,43882682,5332860.0,Universal Pictures
Double Impact (1991),Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.,1991-08-09,Action Crime,R,110,30102717.0,,30102717,7574703.0,Columbia Pictures
L.A. Story (1991),"With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",1991-02-08,Comedy Drama Fantasy Romance,,95,28862081.0,,28862081,6616915.0,TriStar Pictures
