movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Star Wars: Episode VI - Return of the Jedi (1983),"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1983-05-25,Action Adventure Fantasy Sci-Fi,PG,131,316566101.0,165900281.0,482466382,23019618.0,Twentieth Century Fox
Terms of Endearment (1983),Widow Aurora Greenway juggles her own struggles with a new romantic interest while trying to sort out the emotional problems of her daughter who's married to a philandering husband.,1983-11-23,Comedy Drama,,132,108423489.0,260.0,108423749,3498813.0,Paramount Pictures
Flashdance (1983),"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school.",1983-04-15,Drama Music Romance,,95,92921203.0,,92921203,4076124.0,Paramount Pictures
Trading Places (1983),A snobbish Wall Street commodities broker and a wily street hustler find their positions reversed as part of a bet by two callous millionaire brothers who run a brokerage house.,1983-06-10,Comedy,,116,90404800.0,,90404800,7348200.0,Paramount Pictures
Superman III (1983),"Entrepreneur Ross Webster teams up with a computer genius in order to realise his own evil intentions. When Superman obstructs his plans, he decides to destroy him.",1983-06-17,Action Adventure Comedy Sci-Fi,,125,59950623.0,20300000.0,80250623,13352357.0,Warner Bros.
WarGames (1983),"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",1983-06-03,Action Drama Sci-Fi Thriller,,114,79567667.0,,79567667,6227804.0,Metro-Goldwyn-Mayer (MGM)
Octopussy (1983),"A fake Fabergé egg recovered from the body of a fellow agent leads James Bond to uncover a jewel smuggling operation led by the mysterious Octopussy, and a plot to blow up a NATO air base.",1983-06-10,Action Adventure Thriller,,131,67893619.0,23475.0,67917359,8902564.0,Metro-Goldwyn-Mayer (MGM)
Sudden Impact (1983),"When a woman exacts deadly revenge on the aggressors who raped her and her sister ten years earlier, Inspector ""Dirty"" Harry Callahan is assigned to the case.",1983-12-09,Action Crime Thriller,,117,67642693.0,,67642693,9688561.0,Warner Bros.
Staying Alive (1983),"Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.",1983-07-15,Drama Music Romance,,93,64892670.0,,64893329,12146143.0,Paramount Pictures
Mr. Mom (1983),"After he's suddenly laid off, a husband switches roles with his wife. She returns to the workforce, and he becomes a stay-at-home dad, and he has to take care of three young children, a job he has no clue how to do.",1983-07-22,Comedy Drama,,91,64783827.0,,64783827,947197.0,Twentieth Century Fox
Risky Business (1983),"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",1983-08-05,Comedy Crime Drama Romance,,99,63541777.0,,63542350,4275327.0,Warner Bros.
National Lampoon's Vacation (1983),The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,1983-07-29,Adventure Comedy,,98,61418063.0,,61418362,8333358.0,Warner Bros.
The Big Chill (1983),A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,1983-09-30,Comedy Drama,,105,56399659.0,76.0,56399792,3662152.0,Columbia Pictures
Never Say Never Again (1983),"James Bond is called upon to try to recover nuclear bombs stolen by Spectre, but he will have to get rid of a professional assassin, hired especially to eliminate him.",1983-10-07,Action Adventure Thriller,,134,55432841.0,,55433185,10958157.0,Warner Bros.
Jaws 3-D (1983),A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,1983-07-22,Adventure Horror Thriller,,99,45517055.0,42470000.0,87987055,13422500.0,Universal Pictures
Scarface (1983),"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",1983-12-09,Crime Drama,,170,45967303.0,20476000.0,66443303,4597536.0,Universal Pictures
Blue Thunder (1983),The cop test pilot for an experimental police helicopter learns the sinister implications of the new vehicle.,1983-05-13,Action Crime Drama Thriller,,109,42313354.0,,42313354,8258149.0,Columbia Pictures
Yentl (1983),A Jewish girl disguises herself as a boy to enter religious training.,1983-11-18,Drama Musical Romance,,133,40218899.0,,40219251,,Metro-Goldwyn-Mayer (MGM)
Silkwood (1983),"A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",1983-12-16,Biography Drama History Thriller,,131,35615609.0,,35616970,1218322.0,Twentieth Century Fox
