movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Armageddon (1998),"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",1998-07-01,Action Adventure Sci-Fi Thriller,PG-13,151,201578182,352131606.0,553712773,36089972.0,Walt Disney Studios Motion Pictures
Saving Private Ryan (1998),"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",1998-07-24,Drama War,R,169,217049603,265300000.0,482352390,30576104.0,DreamWorks Distribution
Godzilla (1998),French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,1998-05-20,Action Sci-Fi Thriller,PG-13,139,136314294,242700000.0,379014294,44047541.0,Sony Pictures Releasing
There's Something About Mary (1998),"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",1998-07-15,Comedy Romance,R,119,176484651,193400000.0,369884651,13740644.0,Twentieth Century Fox
A Bug's Life (1998),"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",1998-11-20,Adventure Animation Comedy Family,,95,162798565,200460294.0,363258859,291121.0,Walt Disney Studios Motion Pictures
Mulan (1998),"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",1998-06-19,Adventure Animation Comedy Family Fantasy Musical War,,87,120620254,183700000.0,304320254,22745143.0,Walt Disney Studios Motion Pictures
Doctor Dolittle (1998),A doctor discovers that he can communicate with animals.,1998-06-26,Comedy Family Fantasy,PG-13,85,144156605,150300000.0,294456605,29014324.0,Twentieth Century Fox
Shakespeare in Love (1998),"The world's greatest-ever playwright, William Shakespeare, is young, out of ideas, and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",1998-12-11,Comedy Drama History Romance,R,123,100317794,189000000.0,289317794,224012.0,Miramax
Lethal Weapon 4 (1998),"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",1998-07-10,Action Crime Thriller,R,127,130444603,155000000.0,285444603,34048124.0,Warner Bros.
The Truman Show (1998),An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,1998-06-05,Comedy Drama,PG,103,125618201,138500511.0,264118712,31542121.0,Paramount Pictures
Enemy of the State (1998),A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,1998-11-20,Action Thriller,R,132,111549836,139299953.0,250849789,20038573.0,Walt Disney Studios Motion Pictures
You've Got Mail (1998),"Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business.",1998-12-18,Comedy Drama Romance,PG,119,115821495,135000000.0,250821575,18426749.0,Warner Bros.
The Mask of Zorro (1998),"A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance.",1998-07-17,Action Adventure Comedy Drama Romance Thriller Western,PG-13,136,94095523,156193000.0,250288523,22525855.0,Sony Pictures Releasing
