movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
The Lord of the Rings: The Two Towers (2002),"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002-12-18,Adventure Drama Fantasy,PG-13,179,345518923.0,592392292.0,938532865,62007528.0,New Line Cinema
Harry Potter and the Chamber of Secrets (2002),"Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of courage.",2002-11-14,Adventure Family Fantasy Mystery,PG,161,262641637.0,619832821.0,882926965,88357488.0,Warner Bros.
Spider-Man (2002),"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",2002-05-03,Action Adventure Sci-Fi,PG-13,121,407774549.0,418020347.0,825820266,114844116.0,Sony Pictures Releasing
Star Wars: Episode II - Attack of the Clones (2002),"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",2002-05-16,Action Adventure Fantasy Sci-Fi,PG,142,310676740.0,343103230.0,653780724,80027814.0,Twentieth Century Fox
Men in Black II (2002),Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,2002-07-03,Action Adventure Comedy Mystery Sci-Fi,PG-13,88,193735288.0,251400000.0,445135288,52148751.0,Sony Pictures Releasing
Die Another Day (2002),"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",2002-11-20,Action Adventure Thriller,PG-13,133,160942139.0,271028977.0,431971781,47072040.0,Metro-Goldwyn-Mayer (MGM)
Signs (2002),"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",2002-08-02,Drama Mystery Sci-Fi Thriller,PG-13,106,227966634.0,180281283.0,408247917,60117080.0,Walt Disney Studios Motion Pictures
Ice Age (2002),"Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age.",2002-03-14,Adventure Animation Comedy Family,PG,81,176387405.0,206869731.0,383257136,46312454.0,Twentieth Century Fox
My Big Fat Greek Wedding (2002),A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,2002-04-19,Comedy Drama Romance,PG,95,241438208.0,127305836.0,368744044,597362.0,IFC Films
Minority Report (2002),"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",2002-06-20,Action Crime Mystery Sci-Fi Thriller,PG-13,145,132072926.0,226300000.0,358372926,35677125.0,Twentieth Century Fox
Catch Me If You Can (2002),"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2002-12-25,Biography Crime Drama,PG-13,141,164615351.0,187498961.0,352114312,30053627.0,DreamWorks Distribution
Chicago (2002),"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",2002-02-26,Comedy Crime Musical,PG-13,113,170687518.0,136089848.0,306777366,2074929.0,Miramax
Austin Powers in Goldmember (2002),"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",2002-07-26,Action Adventure Comedy Crime,PG-13,94,213307889.0,83630912.0,296939148,73071188.0,New Line Cinema
xXx (2002),"The US government recruits extreme sports athlete Xander Cage to infiltrate a Russian criminal ring, which is plotting the destruction of the world.",2002-08-09,Action Adventure Drama Thriller,PG-13,124,142109382.0,135339000.0,277448382,44506103.0,Revolution Studios
Scooby-Doo (2002),"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",2002-06-14,Adventure Comedy Family Fantasy Mystery,PG,89,153322074.0,122356539.0,275679958,54155312.0,Warner Bros.
