movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Pirates of the Caribbean: Dead Man's Chest (2006),"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006-07-06,Action Adventure Fantasy,PG-13,151,423315812.0,642863935.0,1066179747,135634554.0,Walt Disney Studios Motion Pictures
The Da Vinci Code (2006),A murder and clues in paintings lead to the discovery of a closely guarded religious mystery.,2006-05-17,Mystery Thriller,PG-13,149,217536138.0,542664317.0,760200455,77073388.0,Sony Pictures Releasing
Ice Age 2: The Meltdown (2006),"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths.",2006-03-29,Adventure Animation Comedy Family,PG,91,195330621.0,471763885.0,667094506,68033544.0,Twentieth Century Fox
Casino Royale (2006),"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",2006-11-15,Action Adventure Thriller,PG-13,144,167445960.0,449139792.0,616585752,40833156.0,Sony Pictures Releasing
Night at the Museum (2006),A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,2006-12-21,Adventure Comedy Family Fantasy,PG,108,250863268.0,323617961.0,574482479,30433781.0,Twentieth Century Fox
Cars (2006),"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",2006-06-08,Adventure Animation Comedy Family Sport,,116,244082982.0,217908885.0,461996328,60119509.0,Walt Disney Studios Motion Pictures
X-Men: The Last Stand (2006),"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",2006-05-24,Action Adventure Sci-Fi,PG-13,104,234362462.0,226072829.0,460435291,102750665.0,Twentieth Century Fox
Mission: Impossible III (2006),IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,2006-05-03,Action Adventure Thriller,PG-13,126,134029801.0,264449696.0,398479497,47743273.0,Paramount Pictures
Superman Returns (2006),"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",2006-06-28,Action Adventure Sci-Fi,PG-13,154,200081192.0,191000000.0,391081192,52535096.0,Warner Bros.
Happy Feet (2006),"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",2006-11-17,Adventure Animation Comedy Family Music Musical Romance,PG,108,198000317.0,186335791.0,384336781,41533432.0,Warner Bros.
Over the Hedge (2006),"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",2006-05-19,Adventure Animation Comedy Family,PG,83,155019340.0,184776550.0,339795890,38457003.0,DreamWorks
The Devil Wears Prada (2006),"With an aspiration to become a journalist, Andy, a smart but sensible young graduate, travels to New York. She starts working as an assistant to one of the city's biggest high fashion magazine editors, the cynical Miranda Priestly.",2006-06-30,Comedy Drama,PG-13,109,124740460.0,201965655.0,326720785,27537244.0,Twentieth Century Fox
The Pursuit of Happyness (2006),A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006-12-15,Biography Drama,PG-13,117,163566459.0,143561166.0,307127625,26541709.0,Sony Pictures Releasing
The Departed (2006),An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006-10-05,Crime Drama Thriller,R,151,132399394.0,159081058.0,291481358,26887467.0,Warner Bros.
Borat (2006),Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.,2006-02-23,Comedy,R,84,128505958.0,134046935.0,262552893,26455463.0,Twentieth Century Fox
Eragon (2006),"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",2006-12-13,Action Adventure Family Fantasy,PG,104,75030163.0,175395349.0,250425512,23239907.0,Twentieth Century Fox
Click (2006),A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,2006-06-22,Comedy Drama Fantasy Romance,PG-13,107,137355633.0,103329693.0,240685326,40011365.0,Revolution Studios
The Break-Up (2006),A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.,2006-06-02,Comedy Drama Romance,PG-13,106,118703275.0,86964935.0,205668210,39172785.0,Universal Pictures
The Holiday (2006),"Amanda lives in LA and is a movie trailer editor. Iris lives in Surrey and is a journalist. The two decide to swap houses for two weeks at Christmas - both trying to forget their troubled love lives, until love finds them anyways.",2006-12-05,Comedy Romance,PG-13,136,63224849.0,141918740.0,205219880,12778913.0,Sony Pictures Releasing
Open Season (2006),"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",2006-09-29,Adventure Animation Comedy Family,PG,86,85105259.0,115706430.0,200811689,23624548.0,Sony Pictures Releasing
Inside Man (2006),"A police detective, a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",2006-03-23,Crime Drama Mystery Thriller,R,129,88513495.0,97490096.0,186003591,28954945.0,Universal Pictures
Poseidon (2006),"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.",2006-05-10,Action Adventure Thriller,PG-13,98,60674817.0,121000000.0,181674817,22155410.0,Warner Bros.
Deja Vu (2006),"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",2006-11-22,Action Crime Sci-Fi Thriller,PG-13,126,64038616.0,116518934.0,180557550,20574802.0,Walt Disney Studios Motion Pictures
Flushed Away (2006),"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",2006-11-02,Action Adventure Animation Comedy Drama Family Romance,PG,85,64665672.0,113615882.0,178281554,18814323.0,DreamWorks
Scary Movie 4 (2006),Cindy finds out a little boy haunts the house she lives in and she goes on a quest to solve his murder.,2006-04-12,Comedy,PG-13,83,90710620.0,87552000.0,178262620,40222875.0,Dimension Films
Blood Diamond (2006),"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",2006-12-08,Adventure Drama Thriller,R,143,57377916.0,114342482.0,171720398,8648324.0,Warner Bros.
Saw III (2006),Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,2006-10-27,Horror Mystery Thriller,R,108,80238724.0,84635551.0,164874275,33610391.0,Lionsgate
The Pink Panther (2006),Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,2006-02-09,Adventure Comedy Crime Mystery,PG,93,82226474.0,81889423.0,164115897,20220412.0,Sony Pictures Releasing
Miami Vice (2006),"Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.",2006-07-27,Action Crime Drama Thriller,R,132,63450470.0,100344039.0,163794509,25723815.0,Universal Pictures
Talladega Nights: The Ballad of Ricky Bobby (2006),"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",2006-08-04,Comedy Sport,PG-13,108,148213377.0,15148718.0,163369464,47042215.0,Sony Pictures Releasing
World Trade Center (2006),Two Port Authority police officers become trapped under the rubble of the World Trade Center.,2006-08-09,Drama History Thriller,PG-13,129,70278893.0,92968305.0,163247198,18730762.0,Paramount Pictures
The Fast and the Furious: Tokyo Drift (2006),A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,2006-06-15,Action Crime Thriller,PG-13,104,62514415.0,96450195.0,158968749,23973840.0,Universal Pictures
Rocky Balboa (2006),"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",2006-12-20,Drama Sport,PG,102,70270943.0,85658077.0,155929020,12158168.0,Metro-Goldwyn-Mayer (MGM)
Dreamgirls (2006),"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",2006-12-15,Drama Musical,PG-13,130,103365956.0,52064379.0,155456861,378950.0,DreamWorks
Charlotte's Web (2006),"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",2006-12-15,Adventure Comedy Family Fantasy,G,97,82985708.0,65978114.0,148964660,11457353.0,Paramount Pictures
Garfield: A Tail of Two Kitties (2006),"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",2006-06-14,Adventure Comedy Family,PG,82,28426747.0,114899223.0,143325970,7288977.0,Twentieth Century Fox
