movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Inside Out 2 (2024),"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",2024-06-12,Adventure Animation Comedy Drama Family Fantasy Sport,PG,96,652980194.0,1045883622.0,1698863816,154201673.0,Walt Disney Studios Motion Pictures
Deadpool & Wolverine (2024),"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",2024-07-18,Action Adventure Comedy Sci-Fi,R,128,636745858.0,701327787.0,1338073645,211435291.0,Walt Disney Studios Motion Pictures
Moana 2 (2024),"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-27,Adventure Animation Comedy Family Fantasy Musical,PG,100,460405297.0,598836867.0,1059242164,139787385.0,Walt Disney Studios Motion Pictures
Despicable Me 4 (2024),"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",2024-06-20,Adventure Animation Comedy Crime Family Sci-Fi,PG,94,361004205.0,608775327.0,969779532,75009210.0,Universal Pictures
Wicked (2024),"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",2024-11-20,Fantasy Musical Romance,PG,160,473231120.0,283002082.0,756233202,112508890.0,Universal Pictures
Mufasa: The Lion King (2024),"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024-12-18,Adventure Animation Drama Family Musical,PG,118,254567693.0,468064063.0,722631756,35409365.0,Walt Disney Studios Motion Pictures
Dune: Part Two (2024),"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",2024-02-28,Action Adventure Drama Sci-Fi,PG-13,166,282144358.0,432700000.0,714844358,82505391.0,Warner Bros.
Godzilla x Kong: The New Empire (2024),"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",2024-03-27,Action Adventure Fantasy Sci-Fi Thriller,PG-13,115,196350016.0,375700000.0,572050016,80006561.0,Warner Bros.
Kung Fu Panda 4 (2024),"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",2024-03-06,Action Adventure Animation Comedy Family Fantasy Thriller,PG,94,193590620.0,354355808.0,547946428,57989905.0,Universal Pictures
Sonic the Hedgehog 3 (2024),"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",2024-12-20,Action Adventure Comedy Family Fantasy Sci-Fi,PG,110,236115100.0,256047504.0,492162604,60102146.0,Paramount Pictures
Venom: The Last Dance (2024),Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,2024-10-23,Action Adventure Sci-Fi Thriller,PG-13,110,139755882.0,339181736.0,478937618,51012404.0,Sony Pictures Releasing
Gladiator II (2024),"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",2024-11-06,Action Adventure Drama,R,148,172438016.0,289742701.0,462180717,55034715.0,Paramount Pictures
Beetlejuice Beetlejuice (2024),"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024-09-04,Comedy Fantasy Horror,PG-13,105,294100435.0,157900000.0,452000435,111003345.0,Warner Bros.
Yolo (2024),"After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing.",2024-02-10,Action Comedy Drama Sport,PG-13,129,2001584.0,431598753.0,433600337,827632.0,Sony Pictures Releasing
Pegasus 2 (2024),"A former rally driving champion, now down on his luck, finds new partners to re-enter a famed rally race.",2024-02-08,Comedy Drama Sport,,121,,422878491.0,422878491,,
Successor (2024),"Ma Chenggang and Chunlan, who have ""no oil in their soup and no money in their pockets"", ride a donkey to work and have a poor family. Their son Ma Jiye is the only hope who can change their fate.",2024-07-16,Comedy Drama,,133,,422307398.0,422307398,,
Bad Boys: Ride or Die (2024),"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",2024-06-05,Action Adventure Comedy Crime Thriller,R,115,193573217.0,210976967.0,404550184,56527324.0,Sony Pictures Releasing
Kingdom of the Planet of the Apes (2024),"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",2024-05-08,Action Adventure Drama Sci-Fi Thriller,PG-13,145,171130165.0,226247985.0,397378150,58400788.0,20th Century Studios
Twisters (2024),"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",2024-07-10,Action Adventure Thriller,PG-13,122,267762265.0,104500000.0,372262265,81251415.0,Universal Pictures
