movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
The Lord of the Rings: The Return of the King (2003),Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003-12-17,Adventure Drama Fantasy,PG-13,201,381878219.0,756308664.0,1138585547,72629713.0,New Line Cinema
Finding Nemo (2003),"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003-05-30,Adventure Animation Comedy Family,,100,380843261.0,560794699.0,941637960,70251710.0,Walt Disney Studios Motion Pictures
The Matrix Reloaded (2003),"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",2003-05-15,Action Sci-Fi,R,138,281576461.0,460271476.0,741847937,91774413.0,Warner Bros.
Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",2003-07-09,Action Adventure Fantasy,PG-13,143,305413918.0,348850097.0,654264546,46630690.0,Walt Disney Studios Motion Pictures
Bruce Almighty (2003),A whiny news reporter is given the chance to step into God's shoes.,2003-05-23,Comedy Fantasy,PG-13,101,242829261.0,241763613.0,484592874,67953330.0,Universal Pictures
The Last Samurai (2003),"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.",2003-12-05,Action Drama,R,154,111127263.0,343500000.0,454627263,24271354.0,Warner Bros.
Terminator 3: Rise of the Machines (2003),"John Connor must face a female Terminator with power over all the machines. But a new Terminator unit, a T-850, is sent back through time to help guide him through the coming battle.",2003-07-02,Action Sci-Fi,R,109,150371112.0,283000000.0,433371112,44041440.0,Warner Bros.
The Matrix Revolutions (2003),The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,2003-11-05,Action Sci-Fi,R,129,139313948.0,288030377.0,427344325,48475154.0,Warner Bros.
X2: X-Men United (2003),"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",2003-04-30,Action Sci-Fi Thriller,PG-13,134,214949694.0,192761855.0,407711549,85558731.0,Twentieth Century Fox
Bad Boys II (2003),Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,2003-07-18,Action Comedy Crime Thriller,R,147,138608444.0,134731112.0,273340010,46522560.0,Sony Pictures Releasing
