movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Star Wars: Episode V - The Empire Strikes Back (1980),"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1980-05-21,Action Adventure Fantasy Sci-Fi,PG,124,292753960.0,257262126.0,550016086,4910483.0,Twentieth Century Fox
9 to 5 (1980),"Employees Violet, Judy, and Dora Lee of sexist, egotistical, lying, hypocritical bigot Franklin Hart Junior find a way to turn the tables on him. Dolly Parton's film debut was later a short-lived TV sitcom and a Broadway musical.",1980-12-19,Comedy,,109,103290500.0,10452.0,103303473,3966832.0,Twentieth Century Fox
Stir Crazy (1980),"Set up and wrongfully accused, two best friends are sent to prison for a crime they didn't commit. However, no prison cell can keep them locked in a cage.",1980-12-12,Comedy Crime,,111,101300000.0,,101300000,8691886.0,Columbia Pictures
Airplane! (1980),"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.",1980-06-27,Comedy,,88,83453539.0,765.0,83455874,,Paramount Pictures
Any Which Way You Can (1980),"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames.",1980-12-17,Action Comedy,,116,70687344.0,,70687344,8024663.0,Warner Bros.
Private Benjamin (1980),A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.,1980-10-10,Comedy War,R,109,69847348.0,,69847348,4739769.0,Warner Bros.
Coal Miner's Daughter (1980),"The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s.",1980-03-07,Biography Drama Music,,124,67182787.0,,67182787,3366443.0,Universal Pictures
Smokey and the Bandit II (1980),"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail.",1980-08-15,Action Adventure Comedy,,101,66132626.0,,66132626,10883835.0,Universal Pictures
The Blue Lagoon (1980),"During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters.",1980-06-20,Adventure Drama Romance,,104,58853106.0,,58853243,,Columbia Pictures
The Blues Brothers (1980),"Jake Blues rejoins his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",1980-06-20,Adventure Comedy Crime Music Musical,,133,57229890.0,58000000.0,115229890,4858152.0,Universal Pictures
Ordinary People (1980),"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.",1980-09-19,Drama,,124,54766923.0,,54766923,170335.0,Paramount Pictures
Popeye (1980),The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.,1980-12-12,Adventure Comedy Family Fantasy Musical Romance,,114,49823037.0,,49823329,6310520.0,Paramount Pictures
Urban Cowboy (1980),Bud is a young man from the country who learns about life and love in a Houston bar.,1980-06-06,Drama Romance Western,,132,46918287.0,,46918287,,Paramount Pictures
The Shining (1980),"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",1980-05-23,Drama Horror,R,146,45634352.0,2336632.0,47979668,622337.0,Warner Bros.
Seems Like Old Times (1980),"Wrongfully accused of a bank robbery, a writer seeks the help of his ex-wife, who is now married to the soon-to-be Attorney General of California.",1980-12-19,Comedy Romance,,102,43995918.0,,43995918,,Columbia Pictures
Cheech and Chong's Next Movie (1980),"Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.",1980-07-18,Comedy Crime,,99,41675194.0,,41675194,5262963.0,Universal Pictures
Caddyshack (1980),An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.,1980-07-25,Comedy Sport,,98,39918650.0,,39918650,3142689.0,Warner Bros.
Friday the 13th (1980),"A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.",1980-05-09,Horror Mystery Thriller,,95,39754601.0,158006.0,39920998,5816321.0,Paramount Pictures
Brubaker (1980),The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,1980-06-20,Crime Drama,R,131,37121708.0,,37121708,2748079.0,Twentieth Century Fox
Little Darlings (1980),Two fifteen-year-old girls from different sides of the tracks compete to see who will be the first to lose their virginity while at a summer camp.,1980-03-21,Comedy Drama,,96,34326249.0,,34326249,,Paramount Pictures
Dressed to Kill (1980),A mysterious blonde woman kills one of the patients of a psychiatrist and then goes after the high-class hooker who witnessed the murder.,1980-06-23,Crime Drama Mystery Thriller,,104,31899000.0,,31900256,,Orion Pictures
The Jazz Singer (1980),The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of being a popular singer.,1980-12-19,Drama Music Romance,,115,27118000.0,,27118000,,Universal Pictures
Flash Gordon (1980),A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,1980-12-05,Action Adventure Sci-Fi,,111,27107960.0,68861.0,27186606,3934030.0,Universal Pictures
Lady and the Tramp (1955),The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,1955-06-22,Adventure Animation Comedy Family Musical Romance,G,76,93602326.0,331189.0,93934300,,Walt Disney Studios Motion Pictures
The Elephant Man (1980),"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980-10-03,Biography Drama,,124,26010864.0,14189.0,26034325,,Paramount Pictures
Bronco Billy (1980),"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",1980-06-11,Action Adventure Comedy Drama Romance Western,,116,24265659.0,,24265659,3708710.0,Warner Bros.
Raging Bull (1980),"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980-11-14,Biography Drama Sport,,129,23383987.0,19646.0,23406558,128590.0,Metro-Goldwyn-Mayer (MGM)
Xanadu (1980),A struggling artist living in Los Angeles meets a girl who may hold the key to his happiness.,1980-08-08,Fantasy Musical Romance,,96,22762571.0,,22765400,1471595.0,Universal Pictures
American Gigolo (1980),Los Angeles escort Julian Kay is accused of a murder which he did not commit.,1980-02-01,Crime Drama Mystery Romance Thriller,,117,22743674.0,,22745134,3559930.0,Paramount Pictures
My Bodyguard (1980),"When Clifford Peache enrolls in a new high school and is harassed by a bully named Moody, he acquires the services of the school's most feared kid, the sullen Ricky Linderman, as a bodyguard.",1980-07-11,Comedy Drama Family,,96,22482952.0,,22482952,178641.0,Twentieth Century Fox
The Fog (1980),"Local legend tells of a ship lured on to the rocks of Antonio Bay being enveloped by a supernatural cloud as it sank; the myth says that when this mysterious fog returns, the victims will rise up from the depths seeking vengeance.",1980-02-01,Horror Thriller,,89,21448782.0,48.0,21448830,,AVCO Embassy Pictures
Fame (1980),"Four teenagers must prove their mettle as they begin their journey at the New York High School of Performing Arts. They must navigate through heartbreak, school work, adolescence and challenges.",1980-05-16,Drama Music Musical,,134,21202829.0,,21203707,118160.0,Metro-Goldwyn-Mayer (MGM)
Tess (1979),A strong-willed young peasant girl attracts the affection of two men.,1980-12-12,Drama Romance,,186,20093330.0,7917.0,20101247,,Columbia Pictures
Altered States (1980),A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.,1980-12-25,Horror Sci-Fi Thriller,,102,19853892.0,6.0,19853898,174650.0,Warner Bros.
Song of the South (1946),"The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.",1980-10-08,Animation Comedy Family Fantasy Musical,G,94,37459346.0,,37459346,,Walt Disney Studios Motion Pictures
Cruising (1980),A police officer goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,1980-02-15,Crime Drama Mystery Thriller,,102,19798718.0,15979.0,19815488,,Metro-Goldwyn-Mayer (MGM)
The Octagon (1980),A martial artist must defeat a plan by ninjas to create a worldwide training camp for terrorists.,1980-08-14,Action Drama Romance Thriller,,103,18971000.0,,18971000,,American Cinema Releasing
Honeysuckle Rose (1980),"Buck is a country singer on the road caught in a romantic triangle with Viv and Lily, the daughter of his longtime musical sidekick.",1980-07-18,Drama Music Romance,,119,17815212.0,,17815212,2189966.0,Warner Bros.
Herbie Goes Bananas (1980),The adorable little VW helps its owners break up a counterfeiting ring in Mexico.,1980-06-25,Adventure Comedy Family Fantasy,,100,18000000.0,,18000000,,Walt Disney Studios Motion Pictures
Rough Cut (1980),Two sophisticated jewel thieves join forces to steal $30 million in uncut jewels. Despite a continuous exchange of quips they eventually become romantically involved.,1980-06-20,Adventure Comedy Crime Mystery Romance,,112,16656125.0,,16656125,,Paramount Pictures
The Final Countdown (1980),"A modern aircraft carrier is thrown back in time to 1941 near Hawaii, just hours before the Japanese attack on Pearl Harbor.",1980-08-01,Action Adventure Sci-Fi,,103,16647800.0,,16647800,,Metro-Goldwyn-Mayer (MGM)
