movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
E.T. the Extra-Terrestrial (1982),A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,1982-06-11,Adventure Family Sci-Fi,PG,115,439454989.0,357852418.0,797307407,11835389.0,Universal Pictures
Tootsie (1982),"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",1982-12-17,Comedy Drama Romance,,116,177200000.0,285.0,177200285,5540470.0,Columbia Pictures
An Officer and a Gentleman (1982),"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",1982-07-30,Drama Romance,,124,129795554.0,,129795890,3304679.0,Paramount Pictures
Rocky III (1982),"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.",1982-05-28,Drama Sport,,99,125049125.0,3561.0,125052898,12431486.0,United Artists
Porky's (1981),"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",1982-03-19,Comedy,,94,111289673.0,,111289673,7623988.0,Twentieth Century Fox
Star Trek II: The Wrath of Khan (1982),"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",1982-06-04,Action Adventure Sci-Fi,PG,113,79707906.0,110605.0,79822604,14347221.0,Paramount Pictures
48 Hrs. (1982),A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.,1982-12-10,Action Comedy Crime Drama Thriller,,96,78868508.0,,78868669,4369868.0,Paramount Pictures
Poltergeist (1982),"A family's home becomes the center of paranormal activity that opens a doorway to the ""other side."" With help, they must cross over to get their daughter back.",1982-06-04,Horror Thriller,,114,77177301.0,52670.0,77233131,6896612.0,Metro-Goldwyn-Mayer (MGM)
The Best Little Whorehouse in Texas (1982),A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,1982-07-23,Comedy Musical,,114,69701637.0,,69702172,11874268.0,Universal Pictures
Annie (1982),"A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",1982-05-21,Comedy Drama Family Musical,,126,57059003.0,4858.0,57063861,510632.0,Columbia Pictures
The Verdict (1982),"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",1982-12-10,Drama,,129,53977250.0,16488.0,53993738,100982.0,Twentieth Century Fox
Gandhi (1982),The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,1982-12-10,Biography Drama History,,191,52767889.0,,52768419,131153.0,Columbia Pictures
First Blood (1982),A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,1982-10-22,Action Adventure Thriller,,93,47212904.0,78000000.0,125212904,6642005.0,Orion Pictures
The Toy (1982),An underemployed reporter finds himself literally purchased as a toy for a rich spoiled brat.,1982-12-10,Comedy,,102,47118057.0,,47118057,6322804.0,Columbia Pictures
Firefox (1982),A retired air force pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by neuralink.,1982-06-18,Action Adventure Thriller,,136,46708276.0,,46708276,8152948.0,Warner Bros.
The Dark Crystal (1982),"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world.",1982-12-17,Adventure Family Fantasy,,93,41613957.0,3010291.0,44626250,4657335.0,Universal Pictures
Conan the Barbarian (1982),A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.,1982-05-14,Adventure Fantasy,,129,39565475.0,29286000.0,68851475,9603139.0,Universal Pictures
The Sword and the Sorcerer (1982),A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,1982-04-23,Action Adventure Fantasy Horror,,100,39103425.0,,39103425,1798879.0,Group 1 International Distribution
Best Friends (1982),"After five successful years of living and working together, a couple decide to get married. But what they don't count on is how to survive the honeymoon.",1982-12-17,Comedy Drama Romance,,116,36821203.0,,36821203,4022891.0,Warner Bros.
Richard Pryor: Live on the Sunset Strip (1982),Richard Pryor performs his stand-up comedy act on the Sunset Strip.,1982-03-12,Comedy Documentary,,82,36299720.0,,36299720,7780693.0,Columbia Pictures
