movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Aladdin (1992),A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1992-11-13,Adventure Animation Comedy Family Fantasy Musical Romance,,90,217350219,286700000.0,504050219,196664.0,Walt Disney Studios Motion Pictures
Batman Returns (1992),"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",1992-06-19,Action Crime Fantasy,PG-13,126,162924631,104010057.0,266941512,45687711.0,Warner Bros.
Home Alone 2: Lost in New York (1992),"Kevin is separated from his family again when he accidentally boards a flight to New York City during a Christmas trip to Miami. However he crosses paths with the same burglars, who now plan to rob a toy store on Christmas eve.",1992-11-20,Adventure Comedy Crime Family,PG,120,173585516,185409334.0,358994850,31126882.0,Twentieth Century Fox
Lethal Weapon 3 (1992),Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,1992-05-15,Action Crime Thriller,R,118,144731527,177000000.0,321731527,33243086.0,Warner Bros.
A Few Good Men (1992),A military lawyer intends to prove that two US Marines charged with murdering a fellow Marine were only following their base commander's orders.,1992-12-11,Drama Thriller,R,138,141340178,101900000.0,243240178,15517468.0,Columbia Pictures
Sister Act (1992),"When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.",1992-05-29,Comedy Family Music,PG,100,139605150,92000000.0,231605150,11894587.0,Walt Disney Studios Motion Pictures
The Bodyguard (1992),"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's.",1992-11-25,Drama Music Romance Thriller,R,129,122046449,289000000.0,411046449,16611793.0,Warner Bros.
Wayne's World (1992),Two slacker friends try to promote their public-access cable show.,1992-02-14,Comedy Music,PG-13,94,121697323,61400000.0,183097323,18122710.0,Paramount Pictures
Basic Instinct (1992),A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,1992-03-20,Drama Mystery Thriller,R,127,117727224,235200000.0,352927224,15129385.0,TriStar Pictures
A League of Their Own (1992),"During World War II, sisters Dottie and Kit join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.",1992-07-01,Comedy Drama Sport,PG,128,107533928,24906141.0,132440069,13739456.0,Sony Pictures Releasing
Unforgiven (1992),"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",1992-08-07,Drama Western,R,130,101167799,58000000.0,159167799,15018007.0,Warner Bros.
The Hand That Rocks the Cradle (1992),"After her sex offender husband gets caught in the act and kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against one of her husband's victims and the woman's family.",1992-01-10,Drama Thriller,R,110,88036683,76.0,88036759,7675016.0,Walt Disney Studios Motion Pictures
Under Siege (1992),"Ex US Navy Seal turned cook, Casey Ryback, is the only person who can stop a group of terrorists when they seize control of the US battleship The Missouri to obtain it's nuclear warheads.",1992-10-09,Action Thriller,R,103,83563139,73000000.0,156563139,15760003.0,Warner Bros.
Patriot Games (1992),"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.",1992-06-05,Action Thriller,R,117,83351587,94700000.0,178051587,18511191.0,Paramount Pictures
Dracula (1992),Centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and wreak havoc in the foreign land.,1992-11-13,Fantasy Horror Romance,R,128,82522790,133339902.0,215862692,30521679.0,Columbia Pictures
White Men Can't Jump (1992),"Two basketball hustlers, black Sidney Deane and white Billy Hoyle, join forces to double their chances of winning money on the street courts as well as in a tournament.",1992-03-27,Comedy Sport,R,115,76253806,14500000.0,90753806,14711124.0,Twentieth Century Fox
The Last of the Mohicans (1992),Three Mohican trappers agree to protect the daughters of a British Colonel in the midst of the French and Indian War.,1992-09-25,Action Adventure Drama Romance War,R,112,75505856,,75506530,10976661.0,Twentieth Century Fox
Boomerang (1992),A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,1992-07-01,Comedy Drama Romance,R,117,70052444,61000000.0,131052444,13640706.0,Paramount Pictures
Scent of a Woman (1992),"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",1992-12-23,Drama,R,156,63095253,71000000.0,134095253,357468.0,Universal Pictures
The Crying Game (1992),"A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world.",1992-11-27,Crime Drama Romance Thriller,R,112,62548947,139.0,62549086,101107.0,Miramax
Far and Away (1992),"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",1992-05-22,Adventure Drama Romance Western,PG-13,140,58883840,78900000.0,137783840,10194520.0,Universal Pictures
"Honey, I Blew Up the Kid (1992)","The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.",1992-07-17,Adventure Comedy Family Romance Sci-Fi,PG,89,58662452,,58662452,11083318.0,Walt Disney Studios Motion Pictures
HouseSitter (1992),"Con artist Gwen moves into Newton's empty home without his knowledge and begins setting up house, posing as his new wife.",1992-06-12,Comedy Romance,PG,102,58500635,36400000.0,94900635,9106950.0,Universal Pictures
Death Becomes Her (1992),"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",1992-07-31,Comedy Fantasy Horror,PG-13,104,58422650,90600000.0,149022650,12110355.0,Universal Pictures
Unlawful Entry (1992),A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.,1992-06-26,Crime Drama Thriller,R,111,57138719,,57138719,10067609.0,Twentieth Century Fox
