movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Avatar: The Way of Water (2022),"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",2022-12-14,Action Adventure Fantasy Sci-Fi,PG-13,192,684075767.0,1636174514.0,2320250281,134100226.0,20th Century Studios
Top Gun: Maverick (2022),"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",2022-05-20,Action Drama,PG-13,130,718732821.0,776963471.0,1495696292,126707459.0,Paramount Pictures
Jurassic World: Dominion (2022),"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",2022-06-01,Action Adventure Sci-Fi Thriller,PG-13,147,376851080.0,625127000.0,1001978080,145075625.0,Universal Pictures
Doctor Strange in the Multiverse of Madness (2022),"Doctor Strange teams up with a mysterious teenage girl who can travel across multiverses, to battle other-universe versions of himself which threaten to wipe out the multiverse. They seek help from the Scarlet Witch, Wong and others.",2022-05-04,Action Adventure Fantasy Sci-Fi,PG-13,126,411331607.0,544444197.0,955775804,187420998.0,Walt Disney Studios Motion Pictures
Minions: The Rise of Gru (2022),The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,2022-06-23,Adventure Animation Comedy Crime Family Sci-Fi,PG,87,370549695.0,569933000.0,940482695,107010140.0,Universal Pictures
Black Panther: Wakanda Forever (2022),The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,2022-11-04,Action Adventure Drama Sci-Fi,PG-13,161,453829060.0,405379776.0,859208836,181339761.0,Walt Disney Studios Motion Pictures
The Batman (2022),"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022-03-01,Action Crime Drama Mystery Thriller,PG-13,176,369345583.0,402973732.0,772319315,134008624.0,Warner Bros.
Thor: Love and Thunder (2022),"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",2022-07-06,Action Adventure Comedy Romance Sci-Fi,PG-13,118,343256830.0,417671251.0,760928081,144165107.0,Walt Disney Studios Motion Pictures
Water Gate Bridge (2022),"Sequel to ""The Battle at Lake Changjin"". Follows the Chinese People's Volunteers (CPV) soldiers on a new task, and now their battlefield is a crucial bridge on the retreat route of American troops.",2022-02-01,Action Drama History War,,153,117294.0,626454403.0,626571697,42707.0,CMC Pictures
Puss in Boots: The Last Wish (2022),"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",2022-12-07,Action Adventure Animation Comedy Family Fantasy,PG,102,186090535.0,294375878.0,480466413,12429515.0,Universal Pictures
