movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",2020-10-16,Action Adventure Animation Fantasy Thriller,R,117,49888550.0,435653445.0,485541995,21234994.0,FUNimation Entertainment
The Eight Hundred (2020),"In 1937, 800 Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",2020-08-21,Action Drama History War,,149,372755.0,461048804.0,461421559,118161.0,CMC Pictures
Bad Boys for Life (2020),Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,2020-01-15,Action Comedy Crime Thriller,R,124,206305244.0,220200000.0,426505244,62504105.0,Sony Pictures Releasing
"My People, My Homeland (2020)","In different parts of rural China, various people explore what makes their communities unique.",2020-10-01,Drama,,153,,422390820.0,422390820,,
Tenet (2020),"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",2020-08-26,Action Sci-Fi Thriller,PG-13,150,58504105.0,306800000.0,365304105,9353090.0,Warner Bros.
Sonic the Hedgehog (2020),"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination.",2020-02-12,Action Adventure Comedy Family Fantasy Sci-Fi,PG,99,148974665.0,170741018.0,319715683,58018348.0,Paramount Pictures
Dolittle (2020),A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,2020-01-08,Adventure Comedy Family Fantasy,PG,101,77047065.0,174363566.0,251410631,21844045.0,Universal Pictures
Jiang Ziya (2020),"Banished to the mortal world, a warrior has to slay a demon to return to the heavenly realm and become a god.",2020-10-01,Action Adventure Animation Drama Family Fantasy,,110,214670.0,240431685.0,240646355,,Well Go USA Entertainment
A Little Red Flower (2020),"The film tells a warm and realistic story, thinking and facing the ultimate problem that every ordinary person will face-imagining that death may come at any time, the only thing we have to do is love and cherish.",2020-12-31,Drama Family,,122,,216000000.0,216000000,,
The Croods: A New Age (2020),"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",2020-11-25,Adventure Animation Comedy Family Fantasy,PG,95,58568815.0,157337000.0,215905815,9724200.0,Universal Pictures
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020),"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",2020-02-05,Action Comedy Crime,R,109,84172791.0,121200000.0,205537933,33010017.0,Warner Bros.
Shock Wave 2 (2020),"A terrorist expert in explosives, whose gang has been dismantled, seeks revenge. He threatens to blow up a Hong Kong tunnel with hundreds of hostages. The policeman who has already beaten him once must stop him again.",2020-12-24,Action Crime Thriller,,120,,198921659.0,198921659,,
Wonder Woman 1984 (2020),"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",2020-12-16,Action Adventure Fantasy,PG-13,151,46801036.0,122800000.0,169601036,16701957.0,Warner Bros.
The Sacrifice (2020),"In 1953, the Korean War is entering the final stage. The People's Volunteer Army of China has launched the last major battle in Kumsong. In order to arrive at the battleground on time and deliver enough force to the Kumsong front line, the soldiers have to defend themselves against the never ending bombing of enemy bombers and race with time to repair bridges, all under the circumstance of supply shortages and inferior equipment. The rarely told history slowly unfolds.",2020-10-23,Action Drama War,,122,,161047608.0,161047608,,
The Invisible Man (2020),"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020-02-26,Drama Horror Mystery Sci-Fi Thriller,R,124,70410000.0,74082724.0,144492724,28205665.0,Universal Pictures
Onward (2020),"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",2020-02-29,Adventure Animation Comedy Drama Family Fantasy,PG,102,61555145.0,80333131.0,141888276,39119861.0,Walt Disney Studios Motion Pictures
Warm Hug (2020),"Young man Bao Bao has an obsession with neatness and planning, so he believes that has nothing to do with friendship and love. But everything becomes a strange combination of comedy when he meets sincere Song, neurotic doctor Jia, and hypocritical Wang.",2020-12-31,Comedy,,112,,129240236.0,129240236,,
Soul (2020),"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",2020-12-24,Adventure Animation Comedy Drama Family Fantasy Music,PG,100,946154.0,121031357.0,121977511,431840.0,Walt Disney Studios Motion Pictures
The Call of the Wild (2020),A sled dog struggles for survival in the wilds of the Yukon.,2020-02-19,Adventure Drama Family,PG,100,62342368.0,48824301.0,111166669,24791624.0,20th Century Studios
Caught in Time (2020),A detective tracks down a gang of criminals ten years after they initially evaded arrest.,2020-11-20,Action Crime Drama Thriller,,95,,80543319.0,80543319,,
Mulan (2020),"To keep her ailing father from serving in the Imperial Army, a fearless young woman disguises herself as a man and battles northern invaders in China.",2020-09-03,Action Adventure Drama Fantasy,PG-13,115,,69965374.0,69965374,,Walt Disney Studios Motion Pictures
The Yin-Yang Master: Dream of Eternity (2020),"Qing Ming, the Yin-Yang Master, took his master's last wish and went to the Captial Tiandu City to attend the heaven ceremony.",2020-12-24,Action Drama Fantasy Mystery Romance Sci-Fi,,132,,68000000.0,68000000,,
Stand by Me Doraemon 2 (2020),"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?",2020-11-20,Animation Comedy Drama Family Fantasy Sci-Fi,,96,,65201374.0,65201374,,
The Rescue (2020),A rescue unit within the Chinese Coast Guard are forced to overcome their personal differences to resolve a crisis.,2020-12-18,Action Comedy Drama Thriller,R,139,18797.0,64218757.0,64237554,9674.0,CMC Pictures
Love You Forever (2019),"While aiding an old theatre attendant Lin, an aspiring dancer Qiu stumbles upon his diary which chronicles the life and memories they shared together since childhood, thus discovering a timeless love story concealed in another dimension.",2020-08-25,Drama Fantasy Romance,,115,,60670799.0,60670799,,
Greenland (2020),A family struggles for survival in the face of a cataclysmic natural disaster.,2020-07-29,Action Thriller,PG-13,119,,52300000.0,52300000,,STX Entertainment
Tolo Tolo (2020),"Pierfrancesco ""Checco"" Zalone, a failed entrepreneur, seeks a new life as a waiter on a holiday village in Africa, but the appearance of ISIS forces him to travel again.",2020-01-01,Comedy Family,,90,,52186426.0,52186426,,
Vanguard (2020),Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,2020-09-30,Action Adventure Comedy Crime Thriller,PG-13,107,793525.0,50073376.0,50866901,380428.0,Gravitas Ventures
Fantasy Island (2020),"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",2020-02-12,Fantasy Horror Mystery,PG-13,109,27309289.0,22138019.0,49447308,12310420.0,Sony Pictures Releasing
Trolls World Tour (2020),"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",2020-03-12,Adventure Animation Comedy Family Fantasy Musical,PG,91,450000.0,48826818.0,49276818,,Universal Pictures
The New Mutants (2020),"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020-08-26,Action Horror Mystery Sci-Fi,PG-13,94,23852659.0,25316935.0,49169594,7037017.0,20th Century Studios
After We Collided (2020),"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",2020-09-02,Drama Romance,R,105,2386483.0,45603931.0,47990414,422899.0,Open Road Films (II)
"From Today, It's My Turn: The Movie (2020)","Three years after the event of the series, Takashi Mitsuhashi and Shinji Ito face the new enemies.",2020-07-17,Action Adventure Comedy Drama,,114,,47895887.0,47895887,,
Tanhaji: The Unsung Warrior (2020),"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",2020-01-09,Action Biography Drama History,,135,,45221814.0,45221814,,
Unhinged (2020),"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",2020-07-16,Action Thriller,R,90,20831465.0,23500000.0,44331465,601032.0,Solstice Studios
The End of Endless Love (2020),It tells about a love story between a girl called Ji Ze who is suffering due to depression and a boy called Xin Tang who came from another planet with the ability to create illusions with his voice to make people happy.,2020-12-04,Drama Romance Sci-Fi,,102,,43950000.0,43950000,,
The War with Grandpa (2020),"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",2020-08-28,Comedy Drama Family,PG,94,21277892.0,22109746.0,43387638,3623880.0,101 Studios
Peninsula (2020),"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",2020-07-15,Action Horror Thriller,,116,1231407.0,41466920.0,42698327,118647.0,Well Go USA Entertainment
Monster Hunter (2020),"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",2020-12-03,Action Adventure Fantasy,PG-13,103,15162470.0,26983489.0,42145959,2201269.0,Screen Gems
Underwater (2020),A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,2020-01-08,Action Horror Sci-Fi Thriller,PG-13,95,17291078.0,23591850.0,40882928,7008297.0,Twentieth Century Fox
Bloodshot (2020),"Ray Garrison, a slain soldier, is re-animated with superpowers.",2020-03-06,Action Adventure Sci-Fi,PG-13,109,12561824.0,27299294.0,39861118,9176695.0,Sony Pictures Releasing
Sarileru Neekevvaru (2020),An Army Major -Ajay Krishna- is deployed to Kurnool on a mission and keeps the country safe from external threats.,2020-01-09,Action Comedy Drama,,169,821000.0,36568889.0,37389889,821000.0,Great India Films
The Untold Tale of the Three Kingdoms (2020),"A new interpretation of ""Records of the Three Kingdoms,"" which is historical text of the three states of Wei, Shu, and Wu in China.",2020-12-11,Comedy History War,,113,,36747486.0,36747486,,
The Confidence Man JP: Princess (2020),"Set in Langkawi, Malaysia, the con artists: Dako (Masami Nagasawa), Boku-chan (Masahiro Higashide), and Richard (Fumiyo Kohinata) target the Fuu Family when their head of the family passed away and he left behind 10 trillion yen.",2020-07-23,Comedy Crime,,124,,36109913.0,36109913,,
