movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Pirates of the Caribbean: At World's End (2007),"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.",2007-05-22,Action Adventure Fantasy,PG-13,169,309420425.0,652270784,961691209,114732820.0,Walt Disney Studios Motion Pictures
Harry Potter and the Order of the Phoenix (2007),"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",2007-07-11,Action Adventure Family Fantasy Mystery,PG-13,138,292382727.0,650410557,942871730,,Warner Bros.
Spider-Man 3 (2007),"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",2007-05-01,Action Adventure Sci-Fi,PG-13,139,337281992.0,554359494,891697618,151116516.0,Sony Pictures Releasing
Shrek the Third (2007),"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",2007-05-17,Adventure Animation Comedy Family Fantasy Romance,PG,93,322719944.0,485586147,808308862,121629270.0,DreamWorks
Transformers (2007),"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",2007-06-28,Action Adventure Sci-Fi,PG-13,144,319246193.0,390463587,709709780,70502384.0,DreamWorks
Ratatouille (2007),A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2007-06-28,Adventure Animation Comedy Family Fantasy,G,111,206445654.0,417280431,623732061,47027395.0,Walt Disney Studios Motion Pictures
I Am Legend (2007),"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",2007-12-12,Drama Horror Sci-Fi Thriller,PG-13,101,256393010.0,329017042,585410052,77211321.0,Warner Bros.
The Simpsons Movie (2007),"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,Adventure Animation Comedy,PG-13,87,183135014.0,353279279,536414293,74036787.0,Twentieth Century Fox
National Treasure: Book of Secrets (2007),Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,2007-12-19,Action Adventure Mystery Thriller,PG,124,219964115.0,239278134,459242249,44783772.0,Walt Disney Studios Motion Pictures
300 (2006),"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",2007-03-07,Action Drama,R,117,210629101.0,245453242,456082343,70885301.0,Warner Bros.
The Bourne Ultimatum (2007),Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,2007-08-03,Action Mystery Thriller,PG-13,115,227471070.0,215353068,442824138,69283690.0,Universal Pictures
Live Free or Die Hard (2007),"John McClane is forced to team up with a young computer hacker, Matt Farrell, to stop a master cyber-terrorist called Thomas Gabriel, who wants to shut down the entire nations computer infrastructure in a mass cyber attack.",2007-06-26,Action Thriller,PG-13,128,134529403.0,253626608,388156011,33369559.0,Twentieth Century Fox
The Golden Compass (2007),"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",2007-12-05,Adventure Family Fantasy,PG-13,113,70107728.0,302127136,372234864,26125000.0,New Line Cinema
Alvin and the Chipmunks (2007),Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,2007-12-12,Adventure Animation Comedy Family Fantasy Music Musical,PG,92,217326974.0,148025572,365352546,44307417.0,Twentieth Century Fox
Enchanted (2007),"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",2007-11-21,Adventure Animation Comedy Family Fantasy Musical Romance,PG,107,127807262.0,212680600,340487869,34440317.0,Walt Disney Studios Motion Pictures
Ocean's Thirteen (2007),"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",2007-06-06,Crime Thriller,PG-13,122,117154724.0,194157900,311312624,36133403.0,Warner Bros.
Fantastic Four: Rise of the Silver Surfer (2007),The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,2007-06-13,Action Adventure Fantasy Sci-Fi,PG,92,131921738.0,169991393,301913131,58051684.0,Twentieth Century Fox
Bee Movie (2007),"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey and subsequently decides to sue them.",2007-11-01,Adventure Animation Comedy Drama Family,PG,91,126631277.0,166883059,293514336,38021044.0,DreamWorks
American Gangster (2007),"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",2007-11-02,Biography Crime Drama,R,157,130164645.0,139590785,269755430,43565135.0,Universal Pictures
Rush Hour 3 (2007),"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",2007-08-08,Action Comedy Crime Thriller,PG-13,91,140125968.0,117971154,258097122,50237000.0,New Line Cinema
Wild Hogs (2007),"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",2007-03-02,Action Adventure Comedy,PG-13,100,168273550.0,85351877,253625427,39699023.0,Walt Disney Studios Motion Pictures
Juno (2007),"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",2007-12-05,Comedy Drama,PG-13,96,143495265.0,88877416,232373066,413869.0,Fox Searchlight Pictures
Mr. Bean's Holiday (2007),"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",2007-03-22,Comedy Family,G,90,33302167.0,198923741,232225908,9889780.0,Universal Pictures
Ghost Rider (2007),A motorcycle stuntman who sold his soul becomes a supernatural agent of vengeance.,2007-02-14,Action Fantasy Thriller,PG-13,110,115802596.0,112935797,228738393,45388836.0,Sony Pictures Releasing
Knocked Up (2007),"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",2007-06-01,Comedy Romance,R,129,148768917.0,71153500,219922417,30690990.0,Universal Pictures
Hairspray (2007),Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,2007-07-19,Comedy Drama Musical Romance,PG,117,118946291.0,84681462,203631405,27800000.0,New Line Cinema
Beowulf (2007),"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.",2007-11-14,Action Adventure Animation Fantasy,PG-13,115,82280579.0,114113166,196393745,27515871.0,Paramount Pictures
I Now Pronounce You Chuck & Larry (2007),"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",2007-07-20,Comedy Romance,PG-13,115,120059556.0,67074561,187134117,34233750.0,Universal Pictures
Knowing (2009),M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,2007-05-16,Mystery Sci-Fi Thriller,PG-13,121,79957634.0,103700864,183658498,24604751.0,Summit Entertainment
The Bucket List (2007),Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,2007-12-25,Adventure Comedy Drama,PG-13,97,93466502.0,81906000,175372502,335837.0,Warner Bros.
Evan Almighty (2007),God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,2007-06-21,Comedy Family Fantasy,PG,96,100462298.0,73978426,174440724,31192615.0,Universal Pictures
No Country for Old Men (2007),Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,2007-11-09,Crime Drama Thriller,R,122,74283625.0,97344115,171632777,1202000.0,Miramax
Superbad (2007),Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,2007-08-17,Comedy,R,113,121463226.0,49349300,170812834,33052411.0,Sony Pictures Releasing
Meet the Robinsons (2007),"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",2007-03-23,Adventure Animation Comedy Family Sci-Fi,G,95,97822171.0,71510863,169333034,25123781.0,Walt Disney Studios Motion Pictures
Norbit (2007),"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her.",2007-02-09,Comedy Romance,PG-13,103,95673607.0,64140883,159814490,34195434.0,DreamWorks
P.S. I Love You (2007),A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,2007-12-20,Comedy Drama Romance,PG-13,126,53706790.0,103139531,156846321,6481221.0,Warner Bros.
Sweeney Todd: The Demon Barber of Fleet Street (2007),"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",2007-12-21,Drama Horror Musical Thriller,R,116,52898073.0,100485554,153384272,9300805.0,DreamWorks
Surf's Up (2007),"A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.",2007-06-06,Adventure Animation Comedy Family Sport,PG,85,58867694.0,93138019,152010962,17640249.0,Sony Pictures Releasing
The Game Plan (2007),An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,2007-09-28,Comedy Family Sport,PG,110,90648202.0,57232341,147880543,22950971.0,Walt Disney Studios Motion Pictures
Resident Evil: Extinction (2007),"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",2007-09-19,Action Horror Sci-Fi,R,94,50648679.0,97069154,147717833,23678580.0,Screen Gems
Music and Lyrics (2007),"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",2007-02-09,Comedy Music Romance,PG-13,104,50572589.0,95323833,145896422,13623630.0,Warner Bros.
Blades of Glory (2007),"Two rival Olympic ice skaters, who have been permanently banned from the men's singles competition due to a feud, exploit a loophole that will allow them to qualify as a pairs team.",2007-03-30,Comedy Sport,PG-13,93,118594548.0,27115799,145710347,33014202.0,DreamWorks
Saw IV (2007),"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",2007-10-25,Horror Mystery Thriller,R,93,63300095.0,76052538,139352633,31756764.0,Lionsgate
Bridge to Terabithia (2007),"Leslie and Jess create the secret kingdom of Terabithia, a land of monsters, trolls, ogres and giants where they spend their free time ruling as king and queen and fighting evil creatures.",2007-02-16,Drama Family Fantasy,PG,96,82272442.0,55314621,137587063,22564612.0,Walt Disney Studios Motion Pictures
Stardust (2007),"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",2007-08-09,Adventure Fantasy Romance,PG-13,127,38634938.0,98880202,137515140,9169779.0,Paramount Pictures
1408 (2007),"Author Michael Enslin, who specializes in debunking paranormal occurrences, checks into the fabled room 1408 in the Dolphin Hotel in New York City, settles in, and soon confronts genuine terror.",2007-06-22,Fantasy Horror Mystery,PG-13,104,71985628.0,60977789,132963417,20617667.0,Metro-Goldwyn-Mayer (MGM)
Aliens vs. Predator: Requiem (2007),"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",2007-12-25,Action Horror Sci-Fi Thriller,R,94,41797066.0,88493819,130290885,10059425.0,Twentieth Century Fox
Atonement (2007),Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,2007-09-07,Drama Mystery Romance War,R,123,50927067.0,78338994,129266061,784145.0,Focus Features
The Heartbreak Kid (2007),A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon.,2007-10-04,Comedy Romance,R,116,36787257.0,91665926,128453183,14022105.0,DreamWorks
Charlie Wilson's War (2007),"A drama based on Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.",2007-12-21,Biography Comedy Drama History,R,102,66661095.0,52822351,119483446,9656250.0,Universal Pictures
Disturbia (2007),A bored teenager under house arrest starts spying on his neighbors and discovers one of them might be a serial killer.,2007-04-12,Crime Drama Mystery Thriller,PG-13,105,80209692.0,37904528,118114220,22224982.0,DreamWorks
Earth (2007),"Feature-length version of the documentary TV series Planet Earth, following the migration paths of four animal families.",2007-10-10,Documentary,,90,32011576.0,76964880,108976456,8825760.0,Walt Disney Studios Motion Pictures
The Water Horse (2007),A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,2007-12-25,Adventure Family Fantasy War,PG,112,40946255.0,63021129,103967384,9186054.0,Revolution Studios
Hitman (2007),"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",2007-11-21,Action Crime Thriller,R,94,39687694.0,61588624,101276318,13180769.0,Twentieth Century Fox
