movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Transformers: Age of Extinction (2014),"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",2014-06-25,Action Adventure Comedy Sci-Fi Thriller,PG-13,165,245439076.0,859822637,1105261713,100038390.0,Paramount Pictures
The Hobbit: The Battle of the Five Armies (2014),Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,2014-12-10,Adventure Fantasy,PG-13,144,255138261.0,707063077,962253946,54724334.0,Warner Bros.
Guardians of the Galaxy (2014),A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014-07-30,Action Adventure Comedy Sci-Fi,PG-13,121,333718600.0,439631547,773350376,94320883.0,Walt Disney Studios Motion Pictures
Maleficent (2014),"A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land.",2014-05-28,Action Adventure Drama Family Fantasy Romance,PG,97,241410378.0,518443307,759853685,69431298.0,Walt Disney Studios Motion Pictures
The Hunger Games: Mockingjay - Part 1 (2014),"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",2014-11-19,Action Adventure Sci-Fi Thriller,PG-13,123,337135885.0,422023826,759159711,121897634.0,Lionsgate
X-Men: Days of Future Past (2014),The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,2014-05-21,Action Adventure Sci-Fi Thriller,PG-13,132,233921534.0,512124166,746045700,90823660.0,Twentieth Century Fox
Captain America: The Winter Soldier (2014),"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",2014-03-26,Action Adventure Sci-Fi Thriller,PG-13,136,259766572.0,454654931,714421503,95023721.0,Walt Disney Studios Motion Pictures
Dawn of the Planet of the Apes (2014),The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,2014-07-09,Action Adventure Drama Sci-Fi Thriller,PG-13,130,208545589.0,502098977,710644566,72611427.0,Twentieth Century Fox
The Amazing Spider-Man 2 (2014),"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",2014-04-16,Action Adventure Sci-Fi,PG-13,142,203605622.0,513278887,716934779,91608337.0,Sony Pictures Releasing
Interstellar (2014),"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014-11-05,Adventure Drama Sci-Fi,PG-13,169,203227580.0,555462650,758690230,47510360.0,Paramount Pictures
Big Hero 6 (2014),"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",2014-10-25,Action Adventure Animation Comedy Crime Family Sci-Fi,PG,102,222527828.0,435341858,657870525,56215889.0,Walt Disney Studios Motion Pictures
