movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Spider-Man: No Way Home (2021),"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",2021-12-15,Action Adventure Fantasy Sci-Fi,PG-13,148,814866759.0,1106533944.0,1921426073,260138569.0,Sony Pictures Releasing
The Battle at Lake Changjin (2021),"In the fierce battlefield in the midst of the harsh weather conditions, Wu Qian Li and Wu Wan Li, two brothers soldier including the brave Chinese soldiers must fight together and find a way to cope with the invasion of US forces.",2021-10-01,Action Drama History War,,176,342411.0,902206065.0,902548476,105768.0,CMC Pictures
"Hi, Mom (2021)",A woman travels back in time to befriend her own mother in an attempt to make her life better.,2021-02-12,Comedy Drama Fantasy,,128,,822009764.0,822009764,,
No Time to Die (2021),"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",2021-09-29,Action Adventure Thriller,PG-13,163,160891007.0,613262000.0,774153007,55225007.0,Metro-Goldwyn-Mayer (MGM)
F9: The Fast Saga (2021),Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,2021-05-19,Action Crime Thriller,PG-13,143,173005945.0,553223556.0,726229501,70043165.0,Universal Pictures
Detective Chinatown 3 (2021),A major crime occurs in Tokyo when detectives Tang Ren and Qin Feng are invited to investigate the crime. A battle between the strongest detectives in Asia is about to break out with bursts of laughter.,2021-02-12,Action Adventure Comedy Mystery,R,136,,686257563.0,686257563,,Warner Bros.
Venom: Let There Be Carnage (2021),"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",2021-09-30,Action Sci-Fi Thriller,PG-13,97,213550366.0,293263498.0,506813864,90033210.0,Sony Pictures Releasing
Godzilla vs. Kong (2021),The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,2021-03-24,Action Sci-Fi Thriller,PG-13,113,100916094.0,369200000.0,470116094,31625971.0,Warner Bros.
Shang-Chi and the Legend of the Ten Rings (2021),"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",2021-09-01,Action Adventure Fantasy Sci-Fi,PG-13,132,224543292.0,207700000.0,432243292,75388688.0,Walt Disney Studios Motion Pictures
Sing 2 (2021),Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,2021-12-02,Adventure Animation Comedy Family Musical,PG,110,162790990.0,245611695.0,408402685,22326230.0,Universal Pictures
Dune: Part One (2021),"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",2021-09-15,Action Adventure Drama Sci-Fi,PG-13,155,108897830.0,301770188.0,410668018,41011174.0,Warner Bros.
Eternals (2021),"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",2021-11-03,Action Adventure Fantasy Sci-Fi,PG-13,156,164870234.0,237194665.0,402064899,71297219.0,Walt Disney Studios Motion Pictures
Black Widow (2021),Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,2021-07-07,Action Adventure Sci-Fi,PG-13,134,183651655.0,196100000.0,379751655,80366312.0,Walt Disney Studios Motion Pictures
Free Guy (2021),"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",2021-08-11,Action Adventure Comedy Fantasy Romance Sci-Fi,PG-13,115,121626598.0,209900000.0,331526598,28365416.0,20th Century Studios
A Quiet Place Part II (2020),"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",2021-05-26,Drama Horror Sci-Fi Thriller,PG-13,97,160072261.0,137300000.0,297372261,47547231.0,Paramount Pictures
Encanto (2021),"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mirabel.",2021-11-24,Animation Comedy Family Fantasy Musical,PG,102,96093622.0,165199066.0,261292688,27206494.0,Walt Disney Studios Motion Pictures
Cruella (2021),"During the 1970s London punk rock revolution, young grifter Estella transforms herself into the raucous, revenge-bent Cruella de Vil.",2021-05-26,Adventure Comedy Crime Drama,PG-13,134,86103234.0,147400000.0,233503234,21496997.0,Walt Disney Studios Motion Pictures
