movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Grease (1978),"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",1978-06-16,Comedy Musical Romance,PG,110,190071103,206200000.0,396271103,8941717.0,Paramount Pictures
Superman (1978),"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",1978-12-15,Action Adventure Sci-Fi,PG,143,134478449,166000000.0,300478449,7465343.0,Warner Bros.
National Lampoon's Animal House (1978),"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",1978-07-28,Comedy,,109,141600000,7219.0,141607219,276538.0,Universal Pictures
Every Which Way But Loose (1978),The San Fernando Valley adventures of trucker turned prize-fighter Philo Beddoe and his pet orangutan Clyde.,1978-12-20,Action Comedy,,114,85196485,,85196485,10272294.0,Warner Bros.
Heaven Can Wait (1978),"A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire.",1978-06-28,Comedy Fantasy Romance Sport,,101,81640278,,81640278,3652486.0,Paramount Pictures
Hooper (1978),"Aging Hollywood stuntman Sonny Hooper wants to prove that he's still got what it takes to be a great professional in this risky, under-recognized line of work.",1978-07-28,Action Comedy,,99,78000000,,78000000,,Warner Bros.
Jaws 2 (1978),Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,1978-06-16,Adventure Horror Thriller,,116,81766007,106118000.0,187884007,9866023.0,Universal Pictures
Revenge of the Pink Panther (1978),"To prove that he still is strong and powerful, Philippe Douvier decides to kill Clouseau. Once news of his ""death"" has been announced, Clouseau tries to take advantage of it and goes undercover with Cato to find out who tried to kill him.",1978-07-19,Comedy Crime Mystery,,99,49579269,,49579269,,United Artists
The Deer Hunter (1978),An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,1978-12-08,Drama War,,183,48979328,95051.0,49080312,,Universal Pictures
Halloween (1978),"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",1978-10-25,Horror Thriller,,91,47160000,11716.0,47173315,,Compass International Pictures
Foul Play (1978),"A San Francisco librarian picks up a hitchhiker whose car has broken down, which leads to her being stalked and hunted by shady individuals. A cop she briefly met during a function eventually comes to her rescue.",1978-07-19,Comedy Mystery Thriller,,116,44999621,,44999621,,Paramount Pictures
The End (1978),Slapstick black comedy about a man (Reynolds) who finds that he hasn't much longer to live and has bungled his attempts at suicide.,1978-05-10,Comedy Drama,,100,44917151,,44917151,,United Artists
Up in Smoke (1978),"Stoner musicians Pedro DePacas and Anthony ""Man"" Stoner unknowingly smuggle a van - made entirely of marijuana - from Mexico to Los Angeles with incompetent Police Sergeant Stedenko hot on their trail.",1978-08-11,Comedy Music,,86,44364244,,44364244,,Paramount Pictures
Midnight Express (1978),"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",1978-10-27,Biography Crime Drama Thriller,,121,35000000,,35000000,,Columbia Pictures
Coming Home (1978),"In 1968 California, a woman whose husband is a Marine officer fighting in Vietnam falls in love with a former high school classmate who suffered a paralyzing combat injury in the war.",1978-02-15,Drama Romance War,,127,32653905,141.0,32654046,,United Artists
The Lord of the Rings (1978),The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,1978-11-15,Adventure Animation Fantasy,,132,30471420,,30477175,626649.0,United Artists
House Calls (1978),"Charley is a surgeon who's recently lost his wife. He embarks on a tragicomic romantic quest with woman after woman until he meets up with Ann, a singular woman closer to his own age, who immediately and unexpectedly captures his heart.",1978-01-01,Comedy Drama Romance,,98,28460702,,28460702,,Universal Pictures
Damien: Omen II (1978),"Damien the Antichrist, now about to turn thirteen years old, finally learns of his destiny under the guidance of an unholy disciple of Satan. Meanwhile dark forces begin to eliminate all those who suspect the child's true identity.",1978-06-09,Horror,,107,26518355,,26518355,3880880.0,Twentieth Century Fox
Invasion of the Body Snatchers (1978),"When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time.",1978-12-22,Horror Sci-Fi,,115,24946533,182.0,24949050,1298129.0,United Artists
Convoy (1978),"Truckers form a mile-long ""convoy"" in support of a trucker's vendetta with an abusive sheriff - Based on the country song of the same title by C.W. McCall.",1978-06-28,Action Drama,,110,22765081,,22765081,,Metro-Goldwyn-Mayer (MGM)
The Wiz (1978),"When Harlem schoolteacher Dorothy is miraculously whisked away to an urban fantasy land called Oz, she goes in search of the Wiz, a wizard who can help her get back to Manhattan, along with the Scarecrow, the Tin Man and the Cowardly Lion.",1978-10-01,Adventure Family Fantasy Musical,,134,21049053,,21049647,,Universal Pictures
F.I.S.T. (1978),A rebellious Cleveland warehouse worker rises through the ranks of a trucking industry union to become union president but his organized crime links cause his eventual downfall.,1978-04-26,Crime Drama Thriller,,145,20388920,,20388920,,United Artists
Sgt. Pepper's Lonely Hearts Club Band (1978),"A small-town band hits it big, but it must battle a nefarious plot in the music industry.",1978-07-21,Adventure Comedy Fantasy Musical,,113,20378470,,20378470,,Universal Pictures
Eyes of Laura Mars (1978),"Fashion photographer Laura Mars, whose photographs contain violent images, develops the ability to see through a killer's eyes. Those around her include her driver Tommy, her manager Donald, her ex-husband Michael, and policeman John.",1978-08-02,Mystery Thriller,,104,20000000,41.0,20000041,,Columbia Pictures
The One and Only (1978),"Henry Winkler portrays an outrageously self-confident but out-of-work actor, a young man who dreams of stardom and leaves college to pursue fame and fortune.",1978-02-02,Comedy Romance,,97,16928137,,16928137,,Paramount Pictures
Return from Witch Mountain (1978),"Tia and Tony visit Los Angeles, but he's quickly kidnapped by an evil scientist, leaving her to desperately search for him.",1978-03-10,Adventure Family Fantasy Sci-Fi,,95,16393000,,16393000,,Walt Disney Studios Motion Pictures
Corvette Summer (1978),"High school graduate Kenneth W. Dantley Junior and Vanessa, a hooker-in-training, try to track down his custom-made newly-stolen Corvette.",1978-06-02,Adventure Comedy,,105,15514367,,15514367,,Metro-Goldwyn-Mayer (MGM)
The Greek Tycoon (1978),"A fictionalized account of the Greek shipping magnate, Onassis, and his meeting and subsequent marriage to the widow of assassinated U.S. president, Jacqueline Kennedy.",1978-01-01,Drama,,107,14672713,,14672713,,Universal Pictures
