movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Superman II (1980),"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",1981-06-19,Action Adventure Sci-Fi,PG,127,108185706.0,108200000.0,216385706,14100523.0,Warner Bros.
Raiders of the Lost Ark (1981),"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",1981-06-12,Action Adventure,PG,115,248159971.0,141766000.0,389925971,8305823.0,Paramount Pictures
On Golden Pond (1981),"Curmudgeon Norman is estranged from his daughter Chelsea. Nevertheless, at Golden Pond he and his wife agree to look after Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",1981-12-04,Drama,,109,119285432.0,,119285810,89213.0,Universal Pictures
Arthur (1981),"Alcoholic billionaire playboy Arthur Bach must marry a woman he does not love, or he will be cut off from his $750,000,000 fortune. But when Arthur falls in love with a poor waitress, he must decide if he wants to choose love or money.",1981-07-17,Comedy Romance,,97,95461682.0,,95461682,2719534.0,Warner Bros.
Stripes (1981),Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,1981-06-26,Comedy War,R,106,85297000.0,,85297000,6130197.0,Columbia Pictures
The Cannonball Run (1981),"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",1981-06-19,Action Comedy Sport,,95,72179579.0,,72179579,11765654.0,Twentieth Century Fox
Chariots of Fire (1981),"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.",1981-09-25,Biography Drama Sport,,125,58972904.0,344064.0,59317376,68907.0,Columbia Pictures
For Your Eyes Only (1981),Secret service agent James Bond is assigned to find a missing British vessel equipped with a weapons encryption device and prevent it from falling into enemy hands.,1981-06-26,Action Adventure Thriller,,127,54812802.0,24748.0,54837696,6834967.0,Metro-Goldwyn-Mayer (MGM)
The Four Seasons (1981),"Witty character study of three couples who vacation together each season. After one divorces, feelings of betrayal and more spawn criticisms of one another, but things that unite them are stronger than those which might pull them apart.",1981-05-22,Comedy Drama,,107,50427646.0,,50427646,4365643.0,Universal Pictures
Time Bandits (1981),"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",1981-11-06,Adventure Comedy Fantasy Sci-Fi,,116,42365581.0,2444.0,42368025,6507356.0,Embassy Pictures
Clash of the Titans (1981),Perseus must battle Medusa and the Kraken to save the Princess Andromeda.,1981-06-12,Action Adventure Fantasy,PG,118,41092328.0,,41092328,,Metro-Goldwyn-Mayer (MGM)
Absence of Malice (1981),"When prosecutor Elliot Rosen leaks to naive, but well-meaning, Miami reporter Megan Carter that liquor wholesaler Mike Gallagher is suspected in the murder of the local longshoreman union president, Gallagher's life begins to unravel.",1981-11-20,Drama Romance Thriller,,116,40716963.0,,40716963,97667.0,Columbia Pictures
Reds (1981),"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",1981-12-04,Biography Drama History Romance,,195,40382659.0,129.0,40382788,2325029.0,Paramount Pictures
The Fox and the Hound (1981),"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",1981-07-10,Adventure Animation Drama Family,,83,63456988.0,,63456988,,Walt Disney Studios Motion Pictures
Tarzan the Ape Man (1981),"While on an African expedition with her father, Jane Parker meets Tarzan, and the two become fascinated by each other.",1981-07-24,Adventure Drama,,115,36565280.0,,36565280,,Metro-Goldwyn-Mayer (MGM)
Taps (1981),Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.,1981-12-09,Drama,,126,35856053.0,,35856053,93005.0,Twentieth Century Fox
Sharky's Machine (1981),Tom Sharky is demoted to vice after a bust goes terribly wrong. He and his team stumble across a mob murder tied to prostitution and government.,1981-12-18,Action Crime Drama Thriller,,122,35610100.0,,35610100,3022041.0,Warner Bros.
Excalibur (1981),"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart.",1981-04-10,Adventure Drama Fantasy Romance,PG,140,34967437.0,3699.0,34972104,4519706.0,Warner Bros.
Endless Love (1981),"Parental disapproval of a passionate romance between teenagers Jade Butterfield and David Axelrod leads to arguments, circumstance, insanity and tragedy.",1981-07-17,Drama Romance,,116,31184024.0,1308650.0,32492674,4163623.0,Universal Pictures
History of the World: Part I (1981),Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,1981-06-12,Comedy History Musical,,92,31672907.0,,31672907,4792731.0,Twentieth Century Fox
Bustin' Loose (1981),Failed parolee Joe Braxton has one last shot at redemption: by driving school kids from Philadelphia to Washington State.,1981-05-22,Comedy Drama,,94,31261269.0,,31261269,6622753.0,Universal Pictures
The Great Muppet Caper (1981),"Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy.",1981-06-26,Adventure Comedy Crime Family Musical Mystery,,97,31206251.0,,31206251,2968990.0,Universal Pictures
An American Werewolf in London (1981),"American college students David Kessler and Jack Goodman on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists. Jack dies. David recovers in a hospital, where he has nightmares.",1981-08-21,Comedy Horror,,97,30565292.0,247520.0,30820576,3786512.0,Universal Pictures
Neighbors (1981),A quiet man's peaceful suburban lifestyle is threatened by the obnoxious new couple who moves in next next door.,1981-12-18,Comedy,,94,29916207.0,,29916207,6481386.0,Columbia Pictures
Fort Apache the Bronx (1981),"In New York City, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.",1981-02-06,Crime Drama,,125,29200000.0,,29200000,,Twentieth Century Fox
