movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
The Lion King (1994),"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994-06-15,Adventure Animation Drama Family Musical,88,424979720,553942764.0,979161373,1586753.0,Walt Disney Studios Motion Pictures
Forrest Gump (1994),"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994-07-06,Drama Romance,142,330455270,347771195.0,678226465,24450602.0,Paramount Pictures
True Lies (1994),"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",1994-07-15,Action Comedy Thriller,141,146282411,232600000.0,378882411,25869770.0,Twentieth Century Fox
The Santa Clause (1994),"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",1994-11-11,Comedy Drama Family Fantasy,97,145539357,45000000.0,190539357,19321992.0,Walt Disney Studios Motion Pictures
The Flintstones (1994),"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",1994-05-27,Comedy Family Fantasy,91,130531208,211100000.0,341631208,29688730.0,Universal Pictures
Dumb and Dumber (1994),"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",1994-12-16,Comedy,107,127190327,120100000.0,247290327,16363442.0,New Line Cinema
Clear and Present Danger (1994),CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,1994-08-05,Action Crime Drama Thriller,141,122187717,93700000.0,215887717,20348017.0,Paramount Pictures
Speed (1994),"A deranged bomb expert, Howard Payne, rigs a city bus with a bomb that will explode if it drops below 50 mph. It's up to officer Jack Traven and passenger Annie Porter to work together to keep the bus moving and save everyone on board.",1994-06-10,Action Adventure Thriller,116,121248145,229200000.0,350448145,14456194.0,Twentieth Century Fox
The Mask (1994),Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,1994-07-29,Comedy Crime Fantasy,101,119938730,231644677.0,351583407,23117068.0,New Line Cinema
Pulp Fiction (1994),"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994-10-14,Crime Drama,154,107928762,106000000.0,213928762,9311882.0,Miramax
Interview with the Vampire (1994),"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",1994-11-11,Drama Fantasy Horror,123,105264608,118400000.0,223664608,36389705.0,Warner Bros.
Maverick (1994),"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",1994-05-20,Action Adventure Comedy Western,127,101631272,81400000.0,183031272,17248545.0,Warner Bros.
Street Fighter (1994),"In the midst of a civil war in South East Asia, a general intensifies the climate of violence by kidnapping 63 UN delegates. To free the hostages, a colonel leads a group of fighters, who will have to use all their skills to be successful.",1994-12-23,Action Adventure Comedy Thriller,102,33423521,66008265.0,99433436,6859495.0,Universal Pictures
