movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Three Men and a Baby (1987),"Jack Holden and his friends, Peter and Michael, spend most of their time having flings with several women in their apartment. Their life changes when a mysterious baby appears at their doorstep.",1987-11-25,Comedy Drama Family,102,167780960,,167780960,10384392.0,Walt Disney Studios Motion Pictures
Fatal Attraction (1987),A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,1987-09-18,Drama Thriller,119,156645693,163500000.0,320145693,7602740.0,Paramount Pictures
Beverly Hills Cop II (1987),"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.",1987-05-20,Action Comedy Crime Thriller,103,153665036,146300000.0,299965036,26348555.0,Paramount Pictures
"Good Morning, Vietnam (1987)","In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.",1987-12-25,Biography Comedy Drama War,121,123922370,208.0,123923306,194308.0,Walt Disney Studios Motion Pictures
Moonstruck (1987),"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",1987-12-18,Comedy Drama Romance,102,80640528,1677.0,80646431,127599.0,Metro-Goldwyn-Mayer (MGM)
The Untouchables (1987),"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",1987-06-05,Crime Drama Thriller,119,76270454,,76272360,10023094.0,Paramount Pictures
The Secret of My Success (1987),"A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life.",1987-04-10,Comedy Romance,111,66995879,44001000.0,110996879,7766452.0,Universal Pictures
Stakeout (1987),"Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her.",1987-08-07,Action Comedy Crime Thriller,117,65673233,,65673233,5170403.0,Walt Disney Studios Motion Pictures
Lethal Weapon (1987),Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,1987-03-06,Action Crime Thriller,109,65207127,55000000.0,120207127,6829949.0,Warner Bros.
The Witches of Eastwick (1987),"Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.",1987-06-12,Comedy Fantasy Horror,118,63766510,165.0,63766675,9454238.0,Warner Bros.
