movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Beverly Hills Cop (1984),A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,1984-12-05,Action Comedy Crime Thriller,,105,234760478,81600000.0,316360478,15214805.0,Paramount Pictures
Ghostbusters (1984),"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",1984-06-08,Action Comedy Fantasy Sci-Fi,,105,243640120,53000000.0,296640120,13578151.0,Columbia Pictures
Indiana Jones and the Temple of Doom (1984),"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a sacred stone stolen from them by a secret cult.",1984-05-23,Action Adventure,,118,179870271,153237000.0,333107271,25337110.0,Paramount Pictures
Gremlins (1984),"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",1984-06-08,Comedy Fantasy Horror,,106,153642180,11775336.0,165435247,12511634.0,Warner Bros.
The Karate Kid (1984),"Recently relocated from NJ to LA, Daniel becomes the target of a gang of Cobra Kai dojo students. When Mr. Miyagi saves him with expert Karate skills, Daniel convinces him to teach him to defend himself, and put his bullies in their place.",1984-06-22,Action Drama Family Sport,,126,91077276,46312.0,91137331,5031753.0,Columbia Pictures
Police Academy (1984),"The mayor declares that anyone can enroll in the police academy irrespective of their physical condition or education level, and many misfits descend on the academy, including a young troublemaker who's forced to apply or go to jail.",1984-03-23,Comedy,,96,81198894,,81198894,8570007.0,Warner Bros.
Footloose (1984),A big city teenager moves to a small town where Rock and Roll music and dancing have been banned by backward local parents and his rebellious spirit shakes up the populace.,1984-02-17,Drama Music Romance,,107,80035402,5119.0,80048492,8556935.0,Paramount Pictures
Romancing the Stone (1984),"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",1984-03-30,Action Adventure Comedy Romance,,106,76572238,10000000.0,86572238,5105741.0,Twentieth Century Fox
Star Trek III: The Search for Spock (1984),Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.,1984-06-01,Action Adventure Sci-Fi,,105,76471046,80943.0,76551989,16673295.0,Paramount Pictures
Splash (1984),A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.,1984-03-09,Comedy Fantasy Romance,,111,69821334,,69821334,6174059.0,Walt Disney Studios Motion Pictures
Purple Rain (1984),"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise.",1984-07-27,Drama Music Romance,,111,70261052,4431.0,70274572,7766201.0,Warner Bros.
Amadeus (1984),"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",1984-09-21,Biography Drama Music,R,160,51973029,222124.0,52205710,505276.0,Orion Pictures
Tightrope (1984),"New Orleans single dad and cop Wes Block goes after a serial rapist-killer, but when he gets too close the hunter suddenly becomes the hunted.",1984-08-17,Crime Mystery Thriller,,114,48143579,,48143579,9156545.0,Warner Bros.
The Natural (1984),A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.,1984-05-11,Drama Sport,PG,138,47951979,,47951979,5088381.0,TriStar Pictures
"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)","A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant.",1984-03-30,Adventure Drama,,143,45858563,,45858563,6517732.0,Warner Bros.
Revenge of the Nerds (1984),"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",1984-07-20,Comedy,,90,40874452,,40874452,1513090.0,Twentieth Century Fox
2010: The Year We Make Contact (1984),"A joint USA-Soviet expedition is sent to Jupiter to learn exactly what happened to the ""Discovery"" and its H.A.L. 9000 computer.",1984-12-07,Adventure Mystery Sci-Fi Thriller,,116,40400657,,40400657,7393361.0,Metro-Goldwyn-Mayer (MGM)
Breakin' (1984),A struggling young jazz dancer meets up with two break-dancers. Together they become the sensation of the street crowds.,1984-05-04,Comedy Drama Music Romance,,87,38682707,,38682707,6047686.0,Cannon Film Distributors
Bachelor Party (1984),A soon-to-be-married man's friends throw him the ultimate bachelor party.,1984-06-29,Comedy,,105,38435947,,38435947,4573530.0,Twentieth Century Fox
The Terminator (1984),A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,1984-10-26,Action Adventure Sci-Fi,,107,38371200,40000000.0,78371200,4020663.0,Orion Pictures
Red Dawn (1984),"It is the dawn of World War III. In the western mountains of America, a group of teenagers band together to defend their town, and their country, from invading Soviet forces.",1984-08-10,Action Drama Thriller War,,114,38376497,,38376497,8230381.0,Metro-Goldwyn-Mayer (MGM)
City Heat (1984),"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder.",1984-12-07,Action Comedy Crime,,97,38348988,,38348988,6301694.0,Warner Bros.
All of Me (1984),"Dying millionaire Edwina Cutwater has her soul transferred into the body of younger, willing Terry Hoskins. However, something goes wrong, and she finds herself in her lawyer Roger Cobb's body - together with the lawyer.",1984-09-21,Comedy Fantasy Romance,PG,93,36403064,,36403064,5803848.0,Universal Pictures
Places in the Heart (1984),"In north Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.",1984-09-21,Drama,,111,34901614,,34901614,274279.0,TriStar Pictures
The Killing Fields (1984),A journalist is trapped in Cambodia during Pol Pot's bloody Year Zero cleansing campaign.,1984-11-02,Biography Drama History War,,141,34700291,,34700291,32181.0,Warner Bros.
A Passage to India (1984),"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.",1984-12-14,Adventure Drama History,,164,27187653,5818452.0,33006105,84580.0,Columbia Pictures
Friday the 13th: The Final Chapter (1984),"After being announced dead and taken to a morgue, Jason Voorhees spontaneously revives, escapes from the hospital, and stalks a group of friends renting a house in the countryside near Crystal Lake.",1984-04-13,Horror Thriller,,91,32980880,,32982894,11183148.0,Paramount Pictures
Dune (1984),A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,1984-12-14,Action Adventure Sci-Fi,,137,31439560,56090.0,31502434,6025091.0,Universal Pictures
Conan the Destroyer (1984),Conan leads a ragtag group of adventurers on a quest for a princess.,1984-06-29,Action Adventure Fantasy,,103,31042035,,31042035,6958872.0,Universal Pictures
The Gods Must Be Crazy (1980),"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",1984-04-06,Adventure Comedy,,109,30031783,,30031783,,Twentieth Century Fox
Starman (1984),"An alien takes the form of a young Wisconsin widow's husband and makes her drive him to his departure point in Arizona. Distrustful government agents, along with a more ambivalent scientist, give pursuit in hopes of intercepting them.",1984-12-14,Romance Sci-Fi,,115,28744356,,28744356,2872022.0,Columbia Pictures
The Last Starfighter (1984),"High schooler Alex Rogan conquers the Starfighter video game, only to find out it was just a test, and is transported to another planet. He has been recruited to join a team of the best starfighters to defend their world from the attack.",1984-07-13,Action Adventure Sci-Fi,,100,28733290,,28736154,6011695.0,Universal Pictures
Cannonball Run II (1984),The original characters from The Cannonball Run (1981) race across the country once more in various cars and trucks.,1984-06-29,Action Comedy,,108,28078073,,28078073,8323948.0,Warner Bros.
Teachers (1984),A well meaning but burned-out high school teacher tries to maintain order against the backdrop of a pending lawsuit against his school district when it comes to light they gave a diploma to an illiterate student.,1984-10-05,Comedy Drama,,107,27774237,,27774237,7013366.0,Metro-Goldwyn-Mayer (MGM)
Pinocchio (1940),"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",1940-02-09,Adventure Animation Comedy Family Fantasy Musical,G,88,84254167,37637878.0,121892045,,Walt Disney Studios Motion Pictures
Protocol (1984),A woman (Goldie Hawn) saves life of Emir of Ohtar (Richard Romanus) in Washington.,1984-12-21,Comedy,,96,26186631,,26186631,3427840.0,Warner Bros.
Micki + Maude (1984),"A bigamist must keep his wives from meeting each other, which becomes tricky when both become pregnant.",1984-12-21,Comedy Romance,,118,26080861,,26080861,2742458.0,Columbia Pictures
The Cotton Club (1984),"Meet the jazz musicians, dancers, owner, and guests (like gangster Dutch Schultz) of The Cotton Club in 1928-1930s Harlem.",1984-12-14,Crime Drama Music,,129,25928721,,25928721,2903603.0,Orion Pictures
The Muppets Take Manhattan (1984),Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,1984-07-13,Adventure Comedy Drama Family Musical Romance,,94,25534703,,25535829,4416022.0,TriStar Pictures
A Nightmare on Elm Street (1984),"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",1984-11-09,Horror,R,91,25624448,213514.0,25858510,1271000.0,New Line Cinema
The Woman in Red (1984),"On his way to work, Teddy spots Charlotte, an incredibly beautiful Woman in Red. He really wants to meet her, but what would his wife say?",1984-08-17,Comedy Romance,,87,25308147,41241.0,25349388,3159811.0,Orion Pictures
Moscow on the Hudson (1984),A Russian saxophonist visiting New York City with a USSR circus troupe suddenly decides to defect in Bloomingdale's.,1984-04-06,Comedy Drama Romance,,115,25068724,,25068724,3536687.0,Columbia Pictures
The Flamingo Kid (1984),"A recent high-school graduate unsure of his future gets a summer job at the Flamingo beach club, and meets the charismatic Phil Brody.",1984-12-21,Comedy Drama Romance,,100,23859382,,23859382,2015076.0,Twentieth Century Fox
Sixteen Candles (1984),"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible.",1984-05-04,Comedy Romance,,93,23686027,,23686027,4461520.0,Universal Pictures
