movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Home Alone (1990),"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",1990-11-16,Comedy Family,103,285761243,190923432.0,476684675,17081997.0,Twentieth Century Fox
Ghost (1990),"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",1990-07-13,Drama Fantasy Romance Thriller,126,217631306,288072251.0,505703557,12191540.0,Paramount Pictures
Dances with Wolves (1990),A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,1990-11-09,Adventure Drama Western,181,184208848,240000000.0,424208848,598257.0,Orion Pictures
Pretty Woman (1990),"Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds.",1990-03-23,Comedy Romance,119,178406268,285000000.0,463406268,11280591.0,Walt Disney Studios Motion Pictures
Teenage Mutant Ninja Turtles (1990),Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,1990-03-30,Action Adventure Comedy Family Sci-Fi,93,135384756,66700000.0,202084756,25398367.0,New Line Cinema
The Hunt for Red October (1990),"Moscow, Washington D.C. and a CIA Analyst track a rouge Soviet Captain and his new submarine.",1990-03-02,Action Adventure Thriller,135,122012643,78500000.0,200512643,17161835.0,Paramount Pictures
Total Recall (1990),"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",1990-06-01,Action Adventure Sci-Fi,113,119412921,141905000.0,261317921,25533700.0,Sony Pictures Releasing
Die Hard 2 (1990),"John McClane must race against time to save hundreds of lives (including his wife's) when a group of terrorists take control of Washington Dulles Airport's systems, and threaten to crash several planes if their demands are not met.",1990-07-06,Action Thriller,124,117540947,122490327.0,240031274,21744661.0,Twentieth Century Fox
Dick Tracy (1990),The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,1990-06-15,Action Comedy Crime Music Romance Thriller,105,103738726,59000000.0,162738726,22543911.0,Walt Disney Studios Motion Pictures
Kindergarten Cop (1990),"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",1990-12-22,Action Comedy Crime,111,91457688,110500000.0,201957688,7918560.0,Universal Pictures
Back to the Future Part III (1990),"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",1990-05-25,Adventure Comedy Sci-Fi Western,118,88277583,156800000.0,245077583,19089645.0,Universal Pictures
Days of Thunder (1990),A young hot-shot stock car driver gets his chance to compete at the top level.,1990-06-29,Action Drama Sport,107,82670733,75250000.0,157920733,15490445.0,Paramount Pictures
Presumed Innocent (1990),"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else.",1990-07-27,Mystery Thriller,127,86303188,135000000.0,221303188,11718981.0,Warner Bros.
Another 48 Hrs. (1990),"Jack Cates once again enlists the aid of ex-con Reggie Hammond - this time to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.",1990-06-08,Action Comedy Crime Drama Mystery Thriller,95,80818974,72700000.0,153518974,19475559.0,Paramount Pictures
