movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
The Incredibly True Adventure of Two Girls in Love (1995),An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,1995-06-16,Comedy Drama Romance,94,2213927.0,,2213927,,Fine Line Features
Wild Bill (1995),The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,1995-12-01,Action Biography Drama Western,97,2193982.0,,2193982,987515.0,Metro-Goldwyn-Mayer (MGM)
Mallrats (1995),"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",1995-10-20,Comedy Romance,94,2122561.0,,2122561,1153838.0,Gramercy Pictures (I)
A Month by the Lake (1995),"At a Lake Como resort, Miss Bentley, an attractive older guest, meets a handsome, well-to-do bachelor. But when he's more interested in a beautiful young flirt, the mischievous Miss Bentley goes to outrageous lengths to reel in her catch.",1995-09-22,Comedy Drama Romance,92,2101087.0,,2101087,101042.0,Miramax
Shanghai Triad (1995),A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1995-12-20,Crime Drama History Romance Thriller,108,2086101.0,,2086101,209098.0,Sony Pictures Classics
Strawberry & Chocolate (1993),"Story of two men who are opposites: one gay, the other straight; one a fierce communist, the other a fierce individualist; one suspicious, the other accepting; and how they come to love each other.",1995-01-20,Comedy Drama Romance,108,2080805.0,6764.0,2087569,,Miramax
Endless Winter (1995),"Follow skiers and riders like Craig Kelly, Tommy Moe, and AJ Kitt as they chase winter around the world from Bolivia to Japan all year long.",1995-10-20,Documentary Sport,93,1966454.0,,1966454,,Warren Miller Entertainment
The City of Lost Children (1995),"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-12-15,Adventure Drama Fantasy Sci-Fi,112,1738611.0,43139.0,1784338,34348.0,Sony Pictures Classics
The Mangler (1995),"A laundry-folding machine has been possessed by a demon, causing it to develop homicidal tendencies.",1995-03-03,Drama Horror Mystery,106,1781383.0,,1781383,933809.0,New Line Cinema
Once Were Warriors (1994),A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,1995-03-03,Crime Drama,102,1608570.0,,1608610,,Fine Line Features
Farinelli (1994),"The story of castrato opera singer Carlo Broschi, who enthralled 18th-century European audiences under his stage name Farinelli.",1995-03-17,Biography Drama History Music,111,1573411.0,26815.0,1600226,,Sony Pictures Classics
The Horseman on the Roof (1995),"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",1995-10-06,Adventure Drama Romance War,135,1320043.0,,1320043,,Miramax
Blue in the Face (1995),"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",1995-10-13,Comedy,83,1268636.0,,1268636,104365.0,Miramax
Picture Bride (1994),Riyo marries a man more than twice her age. She is devastated and labors in the sugar cane field. At the end she is able to love her husband.,1995-04-28,Drama Romance,94,1238905.0,,1238905,44380.0,Miramax
Destiny Turns on the Radio (1995),"After 3 years in prison, Julian breaks out and returns to Vegas to get his half from the bank robbery and see Lucille again. The Devil took the loot and Tuerto took Lucille.",1995-04-28,Comedy Crime Fantasy,102,1176982.0,,1176982,676659.0,Savoy Pictures
La seconda volta (1995),"Professor Alberto Sajevo sees a woman walking in downtown Turin and starts following her for days; he finally meets her and they start talking, but they both give fake names. She is not the common secretary she pretends to be, but ex-terrorist Lisa Venturi who's currently in jail for having severely wounded Sajevo fifteen years before; he will finally and dramatically reveal himself.",1995-10-27,Drama,80,,1151013.0,1151013,,
Mute Witness (1995),"A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture.",1995-09-15,Crime Horror Thriller,95,1125910.0,,1125910,560048.0,Sony Pictures Classics
Living in Oblivion (1995),This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,1995-07-14,Comedy Drama,90,1111790.0,,1111790,47965.0,Sony Pictures Classics
