movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Harry Potter and the Goblet of Fire (2005),"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",2005-11-16,Adventure Family Fantasy Mystery,PG-13,157,290469928.0,606578670.0,897468207,102685961.0,Warner Bros.
Star Wars: Episode III - Revenge of the Sith (2005),"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",2005-05-18,Action Adventure Fantasy Sci-Fi,PG-13,140,414378291.0,491217656.0,905595947,108435841.0,Twentieth Century Fox
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.",2005-12-07,Adventure Family Fantasy,PG,143,291710957.0,453302158.0,745013115,65556312.0,Walt Disney Studios Motion Pictures
War of the Worlds (2005),An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,2005-06-29,Action Adventure Sci-Fi,PG-13,117,234280354.0,369592765.0,603873504,64878725.0,Paramount Pictures
King Kong (2005),"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",2005-12-14,Action Adventure Romance,PG-13,187,218080025.0,338826353.0,556906378,50130145.0,Universal Pictures
Madagascar (2005),"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",2005-05-27,Adventure Animation Comedy Family,PG,86,193595521.0,348468325.0,542064525,47224594.0,DreamWorks Distribution
Mr. & Mrs. Smith (2005),"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.",2005-06-08,Action Comedy Crime Thriller,PG-13,120,186336279.0,300951367.0,487287646,50342878.0,Twentieth Century Fox
Charlie and the Chocolate Factory (2005),"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",2005-07-14,Adventure Comedy Family Fantasy Musical,PG,115,206459076.0,268509687.0,474968763,56178450.0,Warner Bros.
Batman Begins (2005),"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2005-06-15,Action Crime Drama Thriller,PG-13,140,206863479.0,168516083.0,375406308,48745440.0,Warner Bros.
Hitch (2005),A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,2005-02-11,Comedy Romance,PG-13,118,179495555.0,192098655.0,371594210,43142214.0,Sony Pictures Releasing
