movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Batman (1989),"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",1989-06-23,Action Adventure,,126,251409241,160160000.0,411569241,40489746.0,Warner Bros.
Indiana Jones and the Last Crusade (1989),"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1989-05-24,Action Adventure,PG-13,127,197171806,277000000.0,474171806,29355021.0,Paramount Pictures
Dead Poets Society (1989),"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",1989-06-02,Comedy Drama,,128,95860116,140000000.0,235860116,340456.0,Walt Disney Studios Motion Pictures
Lethal Weapon 2 (1989),Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,1989-07-07,Action Crime Thriller,R,114,147253986,80600000.0,227853986,20388800.0,Warner Bros.
Look Who's Talking (1989),"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn baby is narrated through voice-over.",1989-10-13,Comedy,,93,140088813,156911000.0,296999813,12107784.0,TriStar Pictures
"Honey, I Shrunk the Kids (1989)",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,1989-06-23,Adventure Comedy Family Sci-Fi,,93,130724172,92000000.0,222724172,14262961.0,Walt Disney Studios Motion Pictures
Back to the Future Part II (1989),"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",1989-11-22,Adventure Comedy Sci-Fi,,108,119361197,213500000.0,332861197,27835125.0,Universal Pictures
Ghostbusters II (1989),The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,1989-06-16,Action Comedy Fantasy Sci-Fi,,108,112494738,102900000.0,215394738,29472894.0,Columbia Pictures
Driving Miss Daisy (1989),An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,1989-12-15,Comedy Drama,,99,106593296,39200000.0,145793296,73745.0,Warner Bros.
Parenthood (1989),Four Buckman siblings attempt to raise their children - each in their own different style - and deal with the joys and sorrows that the process brings.,1989-08-02,Comedy Drama,,124,100047830,26250000.0,126297830,10506450.0,Universal Pictures
When Harry Met Sally... (1989),"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",1989-07-14,Comedy Drama Romance,,95,93117425,156140.0,93275428,1094453.0,Columbia Pictures
The War of the Roses (1989),A married couple tries everything to drive each other out of the house in a vicious divorce battle.,1989-12-08,Comedy Romance,,116,86888546,73300000.0,160188546,9488794.0,Twentieth Century Fox
The Little Mermaid (1989),A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,1989-11-17,Adventure Animation Family Fantasy Musical Romance,,83,111543479,99800000.0,211343479,6031914.0,Walt Disney Studios Motion Pictures
Steel Magnolias (1989),"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold.",1989-11-17,Comedy Drama Romance,,117,84614512,12145000.0,96759512,5425440.0,TriStar Pictures
National Lampoon's Christmas Vacation (1989),The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,1989-12-01,Comedy,,97,74515899,18825.0,74542088,11750203.0,Warner Bros.
Turner & Hooch (1989),A detective must adopt a rambunctious dog in order to help him find a killer.,1989-07-28,Comedy Crime Drama Thriller,,97,71079915,,71079915,12211042.0,Walt Disney Studios Motion Pictures
Born on the Fourth of July (1989),"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",1989-12-22,Biography Drama War,,145,70001698,91000000.0,161001698,172021.0,Universal Pictures
Uncle Buck (1989),Laid back commitment-phobe Buck babysits his brother's rebellious teenage daughter and her cute younger brother and sister.,1989-08-18,Comedy,,100,66758538,12500000.0,79258538,8794501.0,Universal Pictures
Field of Dreams (1989),"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",1989-04-21,Drama Family Fantasy Sport,,107,64532235,20000000.0,84532235,531346.0,Universal Pictures
Tango & Cash (1989),"Framed by their ruthless arch-nemesis, a pair of mismatched LAPD officers must put their differences aside to get even with the brutal crime baron who sent them to rot in a maximum-security prison.",1989-12-22,Action Comedy Crime Thriller,,104,63408614,,63408614,6628918.0,Warner Bros.
Harlem Nights (1989),"During the 1930s, a New York City illegal gambling house owner and his associates must deal with strong competition, gangsters, and corrupt cops in order to stay in business.",1989-11-17,Comedy Crime Drama,,116,60864870,,60864870,16096808.0,Paramount Pictures
Sea of Love (1989),A detective investigating a series of murders becomes involved with a woman who may be the culprit.,1989-09-15,Crime Drama Mystery Romance Thriller,,113,58571513,52308000.0,110879513,10017840.0,Universal Pictures
Pet Sematary (1989),"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",1989-04-21,Fantasy Horror Thriller,,103,57469467,671.0,57470138,12046179.0,Paramount Pictures
The Abyss (1989),A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,1989-08-11,Adventure Drama Mystery Sci-Fi Thriller,PG-13,140,54981151,35539051.0,90520202,9319797.0,Twentieth Century Fox
Star Trek V: The Final Frontier (1989),Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,1989-06-09,Action Adventure Fantasy Sci-Fi Thriller,,107,52210049,,52210049,17375648.0,Paramount Pictures
Major League (1989),"The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.",1989-04-07,Comedy Sport,,107,49797148,,49797487,8836265.0,Paramount Pictures
"See No Evil, Hear No Evil (1989)","Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.",1989-05-12,Comedy Crime,,103,46908987,,46908987,7098741.0,TriStar Pictures
Black Rain (1989),Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,1989-09-22,Action Crime Drama Thriller,,125,46212055,88000000.0,134212055,9677102.0,Paramount Pictures
Always (1989),The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.,1989-12-22,Drama Fantasy Romance,,122,43858790,30276000.0,74134790,3713480.0,Universal Pictures
