movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Star Wars: Episode I - The Phantom Menace (1999),"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",1999-05-19,Action Adventure Fantasy Sci-Fi,PG,136,487576624.0,558938030.0,1046515409,64820970.0,Twentieth Century Fox
The Sixth Sense (1999),"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",1999-08-06,Drama Mystery Thriller,PG-13,107,293506292.0,379300140.0,672806432,26681262.0,Walt Disney Studios Motion Pictures
Toy Story 2 (1999),"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",1999-11-19,Adventure Animation Comedy Family Fantasy,,92,245852179.0,251523202.0,497375381,300163.0,Walt Disney Studios Motion Pictures
The Matrix (1999),"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999-03-31,Action Sci-Fi,R,136,172076928.0,295359711.0,467841735,27788331.0,Warner Bros.
Tarzan (1999),A man raised by gorillas must decide where he really belongs when he discovers he is a human.,1999-06-16,Adventure Animation Comedy Drama Family,G,88,171091819.0,277100000.0,448192603,34221968.0,Walt Disney Studios Motion Pictures
Notting Hill (1999),"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.",1999-05-28,Comedy Drama Romance,PG-13,124,116089678.0,247923093.0,364015475,21811180.0,Universal Pictures
American Beauty (1999),A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999-09-15,Drama,R,122,130096601.0,226200000.0,356296601,861531.0,DreamWorks Distribution
Runaway Bride (1999),"For his latest column in USA Today, Ike Graham writes about Maggie, who always leaves all her fiances standing at the altar. He is fired as she complains to the newspaper for inaccuracies in her story.",1999-07-30,Comedy Romance,PG,116,152257509.0,157202783.0,309460292,35055556.0,Paramount Pictures
Stuart Little (1999),"When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.",1999-12-17,Adventure Comedy Family Fantasy,PG,84,140035367.0,160100000.0,300135367,15018223.0,Sony Pictures Releasing
The Green Mile (1999),A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,1999-12-10,Crime Drama Fantasy Mystery,R,189,136801374.0,150000000.0,286801374,18017152.0,Warner Bros.
The Blair Witch Project (1999),"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",1999-07-16,Horror Mystery,R,81,140539099.0,108100000.0,248639099,1512054.0,Artisan Entertainment
American Pie (1999),Four teenage boys enter a pact to lose their virginity by prom night.,1999-07-09,Comedy,R,95,102561004.0,132922000.0,235483004,18709680.0,Universal Pictures
Big Daddy (1999),"A lazy law school graduate adopts a kid to impress his girlfriend, but everything doesn't go as planned.",1999-06-25,Comedy Drama,PG-13,93,163479795.0,71322100.0,234801895,41536370.0,Sony Pictures Releasing
Wild Wild West (1999),"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",1999-06-30,Action Comedy Sci-Fi Western,PG-13,106,113804681.0,108300000.0,222104681,27687484.0,Warner Bros.
Entrapment (1999),"Insurance investigator Virginia Baker deems that the thief Robert MacDougal has robbed a Rembrandt painting. To retrieve the painting, she poses as an art thief, cooperating with him in criminal acts.",1999-04-30,Action Crime Romance Thriller,PG-13,113,87704396.0,124700000.0,212404396,20145595.0,Twentieth Century Fox
End of Days (1999),"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",1999-11-24,Action Fantasy Horror Thriller,R,122,66889043.0,145100000.0,211989043,20523595.0,Universal Pictures
Austin Powers: The Spy Who Shagged Me (1999),"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",1999-06-09,Action Adventure Comedy Crime,PG-13,95,206040086.0,107661208.0,313701294,54917604.0,New Line Cinema
Sleepy Hollow (1999),Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,1999-11-19,Fantasy Horror Mystery,R,105,101071502.0,105000000.0,206071526,30060467.0,Paramount Pictures
Double Jeopardy (1999),"Jailed for her Husband's murder, a woman learns he lives.",1999-09-24,Crime Drama Mystery Thriller,R,105,116741558.0,61100000.0,177841558,23162542.0,Paramount Pictures
