movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Independence Day (1996),"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",1996-07-03,Action Adventure Sci-Fi,145,306169268.0,511231623.0,817400891,50228264.0,Twentieth Century Fox
Twister (1996),Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.,1996-05-10,Action Adventure Thriller,113,241830615.0,252750000.0,494580615,41059405.0,Warner Bros.
Mission: Impossible (1996),"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",1996-05-22,Action Adventure Thriller,110,180981856.0,276714535.0,457696391,45436830.0,Paramount Pictures
Jerry Maguire (1996),"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",1996-12-13,Comedy Drama Romance Sport,139,153952592.0,119600000.0,273552592,17084296.0,Sony Pictures Releasing
Ransom (1996),"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.",1996-11-08,Action Crime Drama Thriller,121,136492681.0,173000000.0,309492681,34216088.0,Walt Disney Studios Motion Pictures
101 Dalmatians (1996),An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.,1996-11-27,Adventure Comedy Crime Family,103,136189294.0,184500000.0,320689294,33504025.0,Walt Disney Studios Motion Pictures
The Rock (1996),"An FBI chemical weapons expert, and a former SAS solider turned political prisoner, must break into Alcatraz prison when a rogue military group, led by a renegade general, take it over and threaten a nerve gas attack on San Francisco.",1996-06-07,Action Adventure Thriller,136,134069511.0,200993110.0,335062621,25069525.0,Walt Disney Studios Motion Pictures
The Nutty Professor (1996),Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,1996-06-28,Comedy Romance Sci-Fi,95,128814019.0,145147000.0,273961019,25411725.0,Universal Pictures
The Birdcage (1996),"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",1996-03-08,Comedy,117,124060553.0,61200000.0,185260553,18275828.0,Metro-Goldwyn-Mayer (MGM)
A Time to Kill (1996),A young Mississippi lawyer defends a black man who killed the two white men that raped his preteen daughter.,1996-07-24,Crime Drama Thriller,149,108766007.0,43500000.0,152266007,14823159.0,Warner Bros.
The First Wives Club (1996),"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",1996-09-20,Comedy,103,105489203.0,76000000.0,181489203,18913411.0,Paramount Pictures
Phenomenon (1996),"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",1996-07-05,Drama Fantasy Romance Sci-Fi,123,104636382.0,47400000.0,152036382,16158901.0,Walt Disney Studios Motion Pictures
Scream (1996),A masked killer targets a past victim's daughter.,1996-12-20,Horror Mystery,111,103046663.0,70000000.0,173046663,6354586.0,Dimension Films
Eraser (1996),A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,1996-06-21,Action Crime Thriller,115,101295562.0,141000000.0,242295562,24566446.0,Warner Bros.
The Hunchback of Notre Dame (1996),"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",1996-06-21,Animation Drama Family Musical Romance,91,100138851.0,225200000.0,325338851,21037414.0,Walt Disney Studios Motion Pictures
