movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Who Framed Roger Rabbit (1988),"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",1988-06-24,Adventure Animation Comedy Crime Family Fantasy Mystery,104,156452370,173351588.0,329803958,11226239.0,Walt Disney Studios Motion Pictures
Rain Man (1988),"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",1988-12-16,Drama,133,172825435,182000000.0,354825435,7005719.0,Metro-Goldwyn-Mayer (MGM)
Coming to America (1988),"An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will.",1988-06-29,Comedy Romance,117,128152301,160600000.0,288752301,21404420.0,Paramount Pictures
Big (1988),"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",1988-06-03,Comedy Drama Fantasy Romance,104,115227281,36700000.0,151927281,8216190.0,Twentieth Century Fox
Twins (1988),"A physically perfect but innocent man goes in search of his long-lost twin brother, who turns out to be a short, womanizing, small-time crook.",1988-12-09,Comedy Crime,107,111938388,104676000.0,216614388,11174980.0,Universal Pictures
Crocodile Dundee II (1988),Australian outback expert protects his New York love from gangsters who've followed her down under.,1988-05-25,Action Adventure Comedy,111,109306210,130300000.0,239606210,24462976.0,Paramount Pictures
Die Hard (1988),"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",1988-07-15,Action Thriller,132,85892546,57759104.0,143651650,601851.0,Twentieth Century Fox
The Naked Gun: From the Files of Police Squad! (1988),Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,1988-12-02,Comedy Crime,85,78756177,,78756177,9331746.0,Paramount Pictures
Cocktail (1988),A talented New York City bartender takes a job at a bar in Jamaica and falls in love.,1988-07-29,Comedy Drama Romance,104,78222753,93282028.0,171504781,11789466.0,Walt Disney Studios Motion Pictures
Beetlejuice (1988),"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",1988-03-30,Comedy Fantasy,92,74664632,171999.0,74852535,8030897.0,Warner Bros.
Working Girl (1988),"When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job.",1988-12-23,Comedy Drama Romance,113,63779477,39173635.0,102953112,4718485.0,Twentieth Century Fox
A Fish Called Wanda (1988),"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.",1988-07-15,Comedy Crime,108,62493712,,62493712,115418.0,Metro-Goldwyn-Mayer (MGM)
Scrooged (1988),"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",1988-11-23,Comedy Drama Fantasy Romance,101,60328558,443.0,60329560,13027842.0,Paramount Pictures
Willow (1988),"A young dwarf farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen. Along the way, he teams up with a disgraced swordsman to defeat the evil sorceress.",1988-05-20,Action Adventure Drama Fantasy Romance,126,57269863,819.0,57272355,8300169.0,Metro-Goldwyn-Mayer (MGM)
Beaches (1988),"Wealthy privileged San Francisco debutante Hillary Whitney Essex and cynical struggling entertainer C. C. Bloom share a turbulent, but strong friendship over the years.",1988-12-23,Comedy Drama Music,123,57041866,,57041866,198361.0,Walt Disney Studios Motion Pictures
Rambo III (1988),Rambo mounts a one-man mission to rescue his friend Colonel Trautman from the clutches of the formidable invading Soviet forces in Afghanistan.,1988-05-25,Action Adventure Thriller,102,53715611,135300000.0,189015611,13034238.0,TriStar Pictures
Oliver & Company (1988),A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,1988-11-18,Adventure Animation Comedy Family Musical,74,74151346,,74151346,4022752.0,Walt Disney Studios Motion Pictures
Bull Durham (1988),A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,1988-06-17,Comedy Romance Sport,108,50888729,,50888729,5009301.0,Orion Pictures
A Nightmare on Elm Street 4: The Dream Master (1988),"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.",1988-08-19,Horror,93,49369899,,49369899,12833403.0,New Line Cinema
The Land Before Time (1988),An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.,1988-11-18,Adventure Animation Drama Family,69,48478716,36368000.0,84846716,7526025.0,Universal Pictures
Colors (1988),An experienced cop and his rookie partner patrol the streets of East Los Angeles while trying to keep the gang violence under control.,1988-04-15,Action Crime Drama Romance Thriller,120,46616067,,46616067,4747118.0,Orion Pictures
Young Guns (1988),"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",1988-08-12,Action Drama Western,107,45661556,,45661556,7011393.0,Twentieth Century Fox
Biloxi Blues (1988),"A group of young recruits go through boot camp during the Second World War in Biloxi, Mississippi. From the play by Neil Simon.",1988-03-25,Comedy Drama,106,43184798,8500000.0,51684798,7093325.0,Universal Pictures
Dirty Rotten Scoundrels (1988),Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of fifty thousand dollars first.,1988-12-16,Comedy Crime,110,42039085,,42039085,3840498.0,Orion Pictures
The Great Outdoors (1988),A Chicago man and his family go camping with his obnoxious brother-in-law.,1988-06-17,Comedy,91,41455230,2000000.0,43455230,6121115.0,Universal Pictures
Tequila Sunrise (1988),"A former L.A. drug dealer tries to go straight but his past and his underworld connections bring him into the focus of the DEA, the Mexican feds and the Mexican drug cartels.",1988-12-02,Crime Drama Romance Thriller,115,41292551,,41292551,6350974.0,Warner Bros.
Big Business (1988),Two couples of sisters from New York and from the countryside discover that they are connected in an incredible way.,1988-06-10,Comedy,97,40150487,,40150487,6112577.0,Walt Disney Studios Motion Pictures
Bambi (1942),The story of a young deer growing up in the forest.,1942-08-21,Adventure Animation Drama Family,69,102247150,165200000.0,267447150,,RKO Radio Pictures
Midnight Run (1988),"A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",1988-07-22,Action Comedy Crime Thriller,126,38413606,43200000.0,81613606,5506290.0,Universal Pictures
The Dead Pool (1988),"Inspector ""Dirty"" Harry Callahan must stop a sick secret contest to murder various San Francisco celebrities, with himself being one of the targets.",1988-07-15,Action Crime Mystery Thriller,91,37903295,,37903295,9071330.0,Warner Bros.
Red Heat (1988),A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,1988-06-17,Action Comedy Crime Thriller,104,34994648,,34994648,8133822.0,TriStar Pictures
Dangerous Liaisons (1988),A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,1988-12-23,Drama Romance,119,34670720,,34670720,84451.0,Warner Bros.
Mississippi Burning (1988),Two FBI agents with wildly different styles arrive in Mississippi to investigate the disappearance of three civil rights activists.,1988-12-09,Crime Drama Mystery Thriller,128,34603943,,34603943,225034.0,Orion Pictures
Child's Play (1988),"A dying serial killer transfers his consciousness into a popular kids doll using voodoo. A struggling single mother gifts her six-year-old son the much sought-after doll for his birthday, and the doll slowly begins to show its true colors.",1988-11-11,Horror Thriller,87,33244684,10952000.0,44196684,6583963.0,United Artists
The Accidental Tourist (1988),An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.,1988-12-23,Comedy Drama Romance,121,32632093,,32632093,97578.0,Warner Bros.
The Accused (1988),"After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",1988-10-14,Crime Drama,111,32078318,,32078318,4316369.0,Paramount Pictures
Shoot to Kill (1988),An F.B.I. Agent teams up with a tracker to pursue a murderer after he vanishes into the mountains and infiltrates a hiking group.,1988-02-12,Action Adventure Crime Drama Thriller,110,29300090,,29300090,5781628.0,Walt Disney Studios Motion Pictures
Ernest Saves Christmas (1988),Ernest helps Santa Claus as he searches for his successor.,1988-11-11,Comedy Family Fantasy,91,28202109,,28202109,5710734.0,Walt Disney Studios Motion Pictures
Betrayed (1988),An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.,1988-08-26,Crime Drama Thriller,127,25816139,,25816139,5534787.0,United Artists
Funny Farm (1988),"A couple swap city life for the country, but their picturesque new hometown turns out to be just a little bit different to what they were expecting.",1988-06-03,Comedy,101,25537221,,25537221,5655439.0,Warner Bros.
Alien Nation (1988),"In 1988, Earth makes the first contact with an alien civilization. In 1991, these aliens, known as Newcomers, slowly begin to be integrated into human society after three years of quarantine.",1988-10-07,Action Sci-Fi,91,25216243,6938804.0,32155047,8421429.0,Twentieth Century Fox
Gorillas in the Mist (1988),"The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",1988-09-23,Biography Drama,129,24720479,36429000.0,61149479,366925.0,Universal Pictures
The Fox and the Hound (1981),"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",1981-07-10,Adventure Animation Drama Family,83,63456988,,63456988,,Walt Disney Studios Motion Pictures
License to Drive (1988),A teen decides to go for a night on the town with his friends despite flunking his driver's test.,1988-07-08,Comedy,88,22433275,,22433275,3850934.0,Twentieth Century Fox
Short Circuit 2 (1988),Robot Johnny Five comes to the city and gets manipulated by criminals who want him for their own purposes.,1988-07-08,Comedy Drama Family Sci-Fi,110,21630088,,21630088,3843067.0,TriStar Pictures
Married to the Mob (1988),"A mobster's wife hates her lifestyle, but gets a chance to change it when her husband is killed - if the Long Island mob and the FBI let her.",1988-08-19,Comedy Crime Romance,104,21486757,,21486757,3231056.0,Orion Pictures
Punchline (1988),A medical-school dropout and a homemaker/mom try to make it as stand-up comedians. They become friends and help each other out at a New York City comedy club.,1988-09-30,Comedy Drama Romance,128,21042667,,21042667,160742.0,Columbia Pictures
The Presidio (1988),A San Francisco civilian police detective is forced to work on a series of murders with his former enemy commanding officer while dating his daughter.,1988-06-10,Action Crime Mystery Thriller,97,20324096,,20324096,5119031.0,Paramount Pictures
Action Jackson (1988),Vengeance drives a tough Detroit cop to stay on the trail of a power-hungry auto magnate who is systematically eliminating his competition.,1988-02-12,Action Comedy Crime Thriller,96,20256975,,20256975,5424783.0,Lorimar Motion Pictures
Tucker: The Man and His Dream (1988),"The story of Preston Tucker, the maverick car designer and his ill-fated challenge to the auto industry with his revolutionary car concept.",1988-08-12,Biography Comedy Drama,110,19656113,,19656113,3709562.0,Paramount Pictures
The Serpent and the Rainbow (1988),An anthropologist goes to Haiti to research a drug that makes someone appear dead by suspending all vital signs.,1988-02-05,Fantasy Horror,98,19595031,,19595031,5848700.0,Universal Pictures
Police Academy 5: Assignment: Miami Beach (1988),"The Police Academy's commandant will be honored at a police convention in Miami Beach. At the airport he picks a wrong bag with stolen diamonds. The ""owners"" want them back.",1988-03-18,Comedy Crime,90,19510371,,19510371,6106661.0,Warner Bros.
Friday the 13th: The New Blood (1988),"Jason Voorhees is accidentally freed from his watery prison by a telekinetic teenager. Now, only she can stop him.",1988-05-13,Horror Thriller,88,19170001,,19170001,8245038.0,Paramount Pictures
Cocoon: The Return (1988),"The seniors return to Earth to visit their relatives. Will they all decide to go back to the planet where no one grows old, or will they be tempted to stay back on Earth?",1988-11-23,Adventure Comedy Mystery Romance Sci-Fi,116,18924919,6100000.0,25024919,5568143.0,Twentieth Century Fox
The Seventh Sign (1988),"Abby Quinn is eagerly awaiting childbirth but is haunted by dreams in which she miscarries. When she decides to rent a room to a mysterious stranger, she releases a chain of events that will unleash the end of humanity.",1988-04-01,Drama Fantasy Horror Thriller,97,18875011,,18875011,3768707.0,TriStar Pictures
Above the Law (1988),"A former Special Operations Vietnam vet works as a Chicago cop, and uncovers C.I.A. wrongdoing.",1988-04-08,Action Crime Drama Mystery Thriller,99,18869631,,18869631,2037938.0,Warner Bros.
Halloween 4: The Return of Michael Myers (1988),"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",1988-10-21,Horror Thriller,88,17768757,,17768757,6831250.0,Galaxy International Releasing
Frantic (1988),"In a hotel room in Paris, a doctor comes out of the shower and finds that his wife has disappeared. He soon finds himself caught up in a world of intrigue, espionage, gangsters, drugs and murder.",1988-02-26,Crime Drama Mystery Thriller,120,17637950,,17637950,4359424.0,Warner Bros.
Johnny Be Good (1988),"Johnny's the top high-school football player and many colleges want him. His girlfriend, coach and best friend want him in the college, serving themselves most.",1988-03-25,Comedy Sport,91,17550399,,17550399,5249388.0,Orion Pictures
For Keeps? (1988),"After she gets pregnant, a teenage girl must decide whether she should keep the baby or not.",1988-01-15,Comedy Drama Romance,90,17514553,,17514553,4839790.0,TriStar Pictures
Crossing Delancey (1988),A Manhattan single meets a man through her Jewish grandmother's matchmaker.,1988-08-26,Comedy Romance,97,16262415,,16262415,46711.0,Warner Bros.
"Bright Lights, Big City (1988)",A disillusioned young writer living in New York City turns to drugs and drinking to block out bad memories and personal tragedy.,1988-04-01,Drama,107,16118077,,16118077,5126791.0,United Artists
She's Having a Baby (1988),Young newlyweds find out just how unprepared they are for their future together.,1988-02-05,Comedy Drama Romance,106,16031707,,16031707,3827520.0,Paramount Pictures
Masquerade (1988),"A recently orphaned heiress meets a young racing yacht captain in the Long Island Hamptons. He shows interest in her, but love may not be the reason.",1988-03-11,Drama Romance Thriller,91,15855828,,15855828,3500259.0,Metro-Goldwyn-Mayer (MGM)
Big Top Pee-wee (1988),"Pee-wee Herman is now a small-town farmer with a fiancée, but when a traveling circus comes to town, he finds himself falling for the trapeze artist.",1988-07-22,Adventure Comedy Romance,86,15122324,,15122324,4625004.0,Paramount Pictures
Arthur 2: On the Rocks (1988),"Arthur loses his fortune for staying with Linda, right as the two were preparing to adopt a child. As their marriage suffers, Arthur plans for a way to get his money back, but first he must sober up and get a real job.",1988-07-08,Comedy Romance,113,14681192,,14681192,5150962.0,Warner Bros.
School Daze (1988),A not so popular young man wants to pledge to a popular fraternity at his historically black college.,1988-02-12,Comedy Drama Musical,121,14545844,,14545844,1802656.0,Columbia Pictures
Poltergeist III (1988),"Carol Anne is staying with her aunt in a high-rise building, where the supernatural forces haunting her make their return.",1988-06-10,Horror Thriller,98,14114488,,14114488,4344308.0,Metro-Goldwyn-Mayer (MGM)
