movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Jurassic Park (1993),"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",1993-06-11,Action Adventure Sci-Fi Thriller,PG-13,127,407185075,697151153.0,1104379926,47026828.0,Universal Pictures
Mrs. Doubtfire (1993),"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",1993-11-24,Comedy Drama Family,PG-13,125,219195243,222090952.0,441286195,20468847.0,Twentieth Century Fox
The Fugitive (1993),"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",1993-08-06,Action Crime Drama Mystery Thriller,PG-13,130,183875760,185000000.0,368875760,23758855.0,Warner Bros.
The Firm (1993),A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,1993-07-02,Drama Mystery Thriller,R,154,158348367,111900000.0,270248367,25400000.0,Paramount Pictures
Sleepless in Seattle (1993),A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,1993-06-25,Comedy Drama Romance,PG,105,126808165,101119000.0,227927165,17253733.0,TriStar Pictures
Indecent Proposal (1993),"A billionaire offers $1,000,000 to a young married couple for one night with the wife.",1993-04-09,Drama Romance,R,117,106614059,160000000.0,266614059,18387632.0,Paramount Pictures
In the Line of Fire (1993),"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",1993-07-09,Action Crime Drama Thriller,R,128,102314823,74682345.0,176997168,15269388.0,Columbia Pictures
The Pelican Brief (1993),"A law student uncovers a conspiracy, putting herself and others in danger.",1993-12-17,Crime Drama Mystery Thriller,PG-13,141,100768056,94500000.0,195268056,16864404.0,Warner Bros.
Schindler's List (1993),"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993-12-15,Biography Drama History,R,195,96898818,225262427.0,322161245,656636.0,Universal Pictures
Cliffhanger (1993),"Former mountain rescuer, Gabe Walker, must rescue a group of plane crash survivors in the Rocky Mountains. However they are actually a group of violent criminals who need help to locate their missing loot from a US Treasury plane.",1993-05-28,Action Adventure Thriller,R,113,84049211,170951000.0,255000211,16176967.0,TriStar Pictures
Free Willy (1993),"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",1993-07-16,Adventure Drama Family,PG,112,77709806,76000000.0,153709806,7868829.0,Warner Bros.
Philadelphia (1993),"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small-time lawyer as the only willing advocate for a wrongful dismissal suit.",1993-12-24,Drama,PG-13,125,77446440,129232000.0,206678440,143433.0,TriStar Pictures
Groundhog Day (1993),"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",1993-02-12,Comedy Drama Fantasy Romance,PG,101,71107962,629.0,71108778,12517672.0,Columbia Pictures
Grumpy Old Men (1993),A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.,1993-12-25,Comedy Drama Romance,PG-13,103,70172621,,70172621,3874911.0,Warner Bros.
Cool Runnings (1993),"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",1993-10-01,Adventure Comedy Family History Sport,PG,98,68856263,86000000.0,154856263,7046648.0,Walt Disney Studios Motion Pictures
Dave (1993),An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.,1993-05-07,Comedy Romance,PG-13,110,63270710,,63270710,7306755.0,Warner Bros.
Rising Sun (1993),"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.",1993-07-30,Action Crime Drama Mystery Thriller,R,125,63179523,44019267.0,107198790,15195941.0,Twentieth Century Fox
