movie_title,movie_summary,release_date,genres,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Top Gun (1986),"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds with the other pilots, especially the cool and collected Iceman.",1986-05-16,Action Drama,109,180258178,177030000.0,357288178,8193052.0,Paramount Pictures
Crocodile Dundee (1986),"An American reporter travels to the Australian outback to meet eccentric poacher Mick ""Crocodile"" Dundee and invites him to New York City, where he comes face-to-face with the complexities of modern life.",1986-09-26,Adventure Comedy,97,174803506,153400000.0,328203506,8038855.0,Paramount Pictures
Platoon (1986),"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1986-12-19,Drama War,120,138530565,15690.0,138546255,241080.0,Orion Pictures
The Karate Kid Part II (1986),"Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.",1986-06-20,Action Family Sport,113,115103979,,115103979,12652336.0,Columbia Pictures
Star Trek IV: The Voyage Home (1986),"To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.",1986-11-26,Adventure Comedy Sci-Fi,119,109713132,,109713132,16881888.0,Paramount Pictures
Back to School (1986),"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",1986-06-13,Comedy Romance Sport,96,91258000,,91258000,8881035.0,Orion Pictures
Aliens (1986),"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1986-07-18,Action Adventure Horror Sci-Fi Thriller,137,85160248,45900000.0,131060248,10052042.0,Twentieth Century Fox
The Golden Child (1986),A private detective specializing in missing children is charged with the task of finding a special child whom dark forces want to eliminate.,1986-12-12,Action Adventure Comedy Fantasy Mystery,94,79817937,,79817937,11549711.0,Paramount Pictures
Ruthless People (1986),"A couple cheated by a vile businessman kidnaps his wife in retaliation, not knowing that their enemy is delighted that they did.",1986-06-27,Comedy Crime,93,71624879,,71624879,5274306.0,Walt Disney Studios Motion Pictures
Ferris Bueller's Day Off (1986),"A brash, cocky high school senior, tired of skipping school to spend a boring day at home, is determined to enjoy an epic day roaring around his favorite Chicago sites, enlisting his best friend and girlfriend to join him on the adventure.",1986-06-11,Comedy,103,70136369,585732.0,70742603,6275647.0,Paramount Pictures
Down and Out in Beverly Hills (1986),A rich but troubled family find their lives altered by the arrival of a vagrant who tries to drown himself in their swimming pool.,1986-01-31,Comedy,103,62134225,,62134225,5726495.0,Walt Disney Studios Motion Pictures
Stand by Me (1986),A writer recounts a childhood journey with his friends to find the body of a missing boy.,1986-08-08,Adventure Comedy Drama,89,52287414,1234147.0,53525035,242795.0,Columbia Pictures
The Color of Money (1986),"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",1986-10-17,Drama Sport,119,52293982,,52293982,6357877.0,Walt Disney Studios Motion Pictures
Legal Eagles (1986),"A New York district attorney works and flirts with his adversary and her kooky artist client, who is on trial for a murder she didn't commit.",1986-06-20,Comedy Crime Romance,116,49851591,43300000.0,93151591,8043360.0,Universal Pictures
Cobra (1986),A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,1986-05-23,Action Crime Thriller,87,49042224,,49044608,12653032.0,Warner Bros.
An American Tail (1986),"While emigrating to the United States, a young Russian mouse gets separated from his family and must locate them while trying to survive in a new country.",1986-11-21,Adventure Animation Comedy Drama Family Musical,80,47483002,37059000.0,84542002,5234446.0,Universal Pictures
Police Academy 3: Back in Training (1986),"After it's announced that one of the two police academies in the state will be closed down, the alumni of Commandant Lassard's Police Academy return to the school to train new recruits and compete against the other academy.",1986-03-21,Comedy,83,43579163,,43579163,9049586.0,Warner Bros.
Heartbreak Ridge (1986),"Hard-nosed, hard-living Marine Gunnery Sergeant Tom Highway clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",1986-12-05,Drama War,130,42724017,,42724017,8100840.0,Warner Bros.
Peggy Sue Got Married (1986),"Peggy Sue, on the verge of a divorce, faints at her 25th high school reunion, and wakes up to find herself back in 1960, leading her to try to spot and correct the mistakes that led to disappointments and an unhappy marriage.",1986-10-10,Comedy Drama Fantasy Romance,103,41382841,,41382841,6942408.0,TriStar Pictures
Poltergeist II: The Other Side (1986),"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over.",1986-05-23,Horror,91,40996665,,40998097,12357190.0,Metro-Goldwyn-Mayer (MGM)
Short Circuit (1986),"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.",1986-05-09,Comedy Family Sci-Fi,98,40697761,,40698303,5346808.0,TriStar Pictures
Pretty in Pink (1986),A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.,1986-02-28,Comedy Drama Romance,97,40471663,7817.0,40480653,6065870.0,Paramount Pictures
The Fly (1986),A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,1986-08-15,Drama Horror Sci-Fi,96,40456565,20172594.0,60629159,7007423.0,Twentieth Century Fox
Three Amigos! (1986),"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing.",1986-12-12,Comedy Western,104,39246734,,39246734,5939000.0,Orion Pictures
Little Shop of Horrors (1986),A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,1986-12-19,Comedy Horror Musical Romance,94,39032001,1012.0,39064308,3659884.0,Warner Bros.
About Last Night (1986),"Chicago singles meet in a bar, live together and call it love. Based on David Mamet's play Sexual Perversity in Chicago.",1986-07-04,Comedy Drama Romance,113,38702310,,38702310,3152469.0,TriStar Pictures
Running Scared (1986),Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,1986-06-27,Action Comedy Crime Thriller,107,38500726,,38500726,5227757.0,Metro-Goldwyn-Mayer (MGM)
The Money Pit (1986),A young couple struggles to repair a hopelessly dilapidated house.,1986-03-28,Comedy,91,37499651,17500000.0,54999651,5344555.0,Universal Pictures
Gung Ho (1986),"When a Japanese automobile company buys an American plant, the American liaison must mediate the clash of work attitudes between the foreign management and native labor.",1986-03-14,Comedy Drama,112,36611610,,36611610,7170830.0,Paramount Pictures
Hannah and Her Sisters (1986),"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",1986-02-07,Comedy Drama,107,40084041,,40084041,1265826.0,Orion Pictures
Nothing in Common (1986),A successful advertising executive finds his freewheeling life crashing to a halt when his parents end their longtime marriage.,1986-08-01,Comedy Drama Romance,118,32324557,,32324557,3279650.0,TriStar Pictures
Children of a Lesser God (1986),"A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.",1986-10-03,Drama Romance,119,31853080,,31853080,1909084.0,Paramount Pictures
