movie_title,movie_summary,release_date,genres,indicative_rating,running_time,domestic_gross,international_gross,total_gross,domestic_opening,domestic_distributor
Harry Potter and the Deathly Hallows: Part 2 (2011),"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",2011-07-13,Adventure Family Fantasy Mystery,PG-13,130,381447587.0,960937698,1342505340,169189427.0,Warner Bros.
Transformers: Dark of the Moon (2011),"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",2011-06-29,Action Adventure Comedy Sci-Fi Thriller,PG-13,154,352390543.0,771403536,1123794079,97852865.0,DreamWorks
Pirates of the Caribbean: On Stranger Tides (2011),"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",2011-05-18,Action Adventure Fantasy,PG-13,137,241071802.0,805649464,1046721266,90151958.0,Walt Disney Studios Motion Pictures
The Twilight Saga: Breaking Dawn - Part 1 (2011),"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",2011-11-16,Adventure Drama Fantasy Romance Thriller,PG-13,117,281287133.0,430918723,712205856,138122261.0,Summit Entertainment
Mission: Impossible - Ghost Protocol (2011),"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",2011-12-14,Action Adventure Thriller,PG-13,132,209397903.0,485315477,694713380,12785204.0,Paramount Pictures
Kung Fu Panda 2 (2011),"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",2011-05-26,Action Adventure Animation Comedy Drama Family Fantasy Thriller,PG,90,165249063.0,500443218,665692281,47656302.0,DreamWorks
Fast Five (2011),Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,2011-04-20,Action Crime Thriller,PG-13,130,209837675.0,416300000,626140012,86198765.0,Universal Pictures
The Hangover Part II (2011),"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding, but Stu's plan for subdued pre-wedding brunch goes seriously awry.",2011-05-25,Comedy,R,102,254464305.0,332300000,586764305,85946294.0,Warner Bros.
The Smurfs (2011),"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",2011-07-27,Adventure Animation Comedy Family Fantasy,PG,103,142614158.0,421135165,563892376,35611637.0,Sony Pictures Releasing
Cars 2 (2011),Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011-06-22,Adventure Animation Comedy Crime Family Sci-Fi Sport,G,106,191452396.0,368400000,559853036,66135507.0,Walt Disney Studios Motion Pictures
